word,pos_new,icon_eng,icon_asl,global_centrality,threshold,local_concentration,nc_5,nc_10,nc_20,nc_50,nc_100,freq_eng,freq_asl
a,grammar,0.46153846200000004,,9265.226946780878,0.37069188866282937,37.0397130338765,3.2906235772246486,5.721091836809267,10.194267233815248,22.530990436495603,41.47522013331679,7.38,
abide,verb,0.25,,7964.281188044812,0.37069188866282937,497.1410591647423,3.644927805331437,6.799547037874713,12.769562377103856,29.316960720802737,54.9276028378101,3.63,
able,adjective,0.46666666700000003,,8522.673164798245,0.37069188866282937,346.3142438215409,3.812965022880406,7.011831942143925,13.135959646460488,30.2772144525619,56.23139810511611,5.44,
about,grammar,-0.1,2.0669999999999997,8220.001102356397,0.37069188866282937,133.90868485948948,3.1886592837779086,5.718674003108152,10.596907981116855,24.330983048721873,45.77547908057401,6.41,5.48
above,grammar,1.0625,,7973.134659481301,0.37069188866282937,100.33083787137015,3.078311752074009,5.40225518695407,9.928427170285063,22.65442562972812,42.84040625774252,5.24,
abrasive,adjective,1.3125,,8619.957818255727,0.37069188866282937,526.3988846416918,3.4858821038474628,6.405095897757148,11.959687424685287,27.66058820826587,52.5475976261275,3.06,
absorbent,adjective,0.923076923,,8858.165042271052,0.37069188866282937,875.6604007853607,3.7709634072646825,7.1052170789005915,13.472403082137433,31.537232587956037,60.42191472650004,2.56,
academy,noun,0.692307692,,6679.222886454326,0.37069188866282937,42.06344955731184,3.4411992626395054,6.012861561088172,10.789110630488501,23.561437599527288,42.804781620920885,4.54,
accident,noun,1.363636364,3.3,7892.867717429689,0.37069188866282937,192.42269123523187,3.9164412634322985,7.042558862693152,12.936833417378926,28.625383626227514,52.16892923768597,4.67,4.12
accordion,noun,-0.454545455,,8104.3813998905225,0.37069188866282937,215.2140310866837,4.0322811518714445,7.602732049684166,14.481133609801502,33.66827432704552,62.12944170012071,3.01,
account,noun,-0.428571429,,7318.266361457123,0.37069188866282937,91.56010242505116,3.3107291585459144,5.823976274340707,10.640937931916463,24.21815865441133,45.22460791556344,5.2,
ache,noun,1.153846154,,7064.824093646992,0.37069188866282937,60.12601773906272,3.102131899800108,5.4957992513621035,10.033587832141949,22.58302549955714,42.11691224908025,3.37,
aching,verb,0.25,,8862.715136060291,0.37069188866282937,505.36334339552354,3.4187465320883685,6.31710873151591,11.833514808836913,27.86623255028736,53.3025300309141,3.2,
acid,noun,0.75,,7976.98637056894,0.37069188866282937,487.1775779750573,4.080918622996546,7.671815440820465,14.53259384762894,34.25529327478097,65.24189170703653,4.41,
acidic,adjective,1.0,,8029.098239187578,0.37069188866282937,646.3464019758761,3.984648439452748,7.496153901426643,14.18395565435918,32.9859962839704,62.41768379792366,3.22,
acrid,adjective,0.615384615,,7980.376893464178,0.37069188866282937,324.28202007293817,3.534452402533634,6.413827750577064,11.809873910620636,26.869077542564288,50.33672353529528,2.3,
acrobat,noun,1.0,,7316.055495267363,0.37069188866282937,35.08060222042538,3.205196530688651,5.568543347268358,10.068825422049127,22.244167959298895,40.975231614385685,2.81,
actuality,noun,-0.363636364,,9949.978540260723,0.37069188866282937,699.3065676296361,3.3661023908151444,6.218072682775612,11.775441871588033,27.815700850045253,53.09922150487816,2.97,
add,verb,-0.153846154,,7834.24705901937,0.37069188866282937,279.6896547617448,3.39220009289988,6.0671658251065885,11.225870628760266,25.94117049754385,49.14223772808674,5.07,
addition,grammar,1.230769231,,9414.249698202566,0.37069188866282937,218.97353791933412,3.6234220354664095,6.538754817656947,11.935501352197516,26.639665348976468,49.111292438339845,5.0,
address,noun,-0.583333333,1.486,7021.247434810119,0.37069188866282937,70.63501793961682,3.7164837154137738,6.2255489442875485,10.859133279743702,23.852660417972523,44.04098098711479,4.9,4.8889999999999985
adhere,verb,-0.4,,7126.183697091996,0.37069188866282937,285.7331121092997,4.154576879311614,7.375539274998355,13.162779761708801,28.941227834381827,53.075174467317154,3.6,
adhesive,noun,1.333333333,,8105.270590088362,0.37069188866282937,540.060010967496,3.657437327616506,6.836572726523258,12.97425233783515,30.0175814685568,56.532484748533314,3.29,
administer,verb,0.25,,7142.380972713273,0.37069188866282937,177.14818681988896,3.9702471963726897,6.930148672348661,12.203358190263119,26.72043049729065,49.122525034668925,3.61,
administration,noun,0.384615385,,7135.197996515873,0.37069188866282937,92.60210700035822,3.663817797012612,6.406874860422803,11.31063771146466,24.82087376676368,45.53911365791448,4.94,
admission,noun,0.090909091,,7688.525121476554,0.37069188866282937,117.78559291802124,3.6617350066255794,6.488466527858138,11.70599584963466,26.2283668833384,48.04494667159929,4.14,
advantage,noun,-0.307692308,,8430.993988981423,0.37069188866282937,242.35788844457105,3.8087282948257233,6.628232782924295,11.91422635683514,26.337976870218238,48.911682124102036,4.8,
advice,noun,0.428571429,,8394.913773406673,0.37069188866282937,348.89863684070923,3.7187732997091234,6.7447568554390624,12.435520968320795,28.063816638724948,51.94980514313193,4.9,
afford,verb,-0.066666667,,8016.819223836934,0.37069188866282937,202.49895316023895,3.386437655792724,6.111147859667977,11.175822113498972,25.590882272106636,48.161906506924716,4.58,
afraid,adjective,1.333333333,,9863.187250708192,0.37069188866282937,1062.1896385224707,3.901910289220627,7.250535787068203,13.795933864325054,32.771266421134484,62.66163052486,4.73,
after,grammar,0.75,3.2,8894.404504292459,0.37069188866282937,199.76143226251708,3.969330741192204,7.231895561758504,13.249184715306507,29.097424711069692,52.79349135931925,6.1,3.88
agility,noun,1.454545455,,8195.465158151455,0.37069188866282937,201.45275585579208,3.7548202060644686,6.9346231796127045,12.892612164027964,28.419464211667005,51.696382995613774,3.32,
