"Word types: A = adjective, ADV = adverb, F = function word (non-specified), N = noun, NUM = numeral, V = verb.",,,,,,,,,,,
"AoA = Age of Acquisition, new = ratings collected for the present study, MRC = ratings (not specified for word class), available on the MRC Psycholinguistic Database (1997). Oxford: Medical Research Council.",,,,,,,,,,,
"Frequency = logarithm of combined written and spoken count divided by total words in corpus of Celex Database (Baayen, R.H., Piepenbrock, R. & Gulikers, L. (1995). The CELEX Lexical Database [CD ROM]. Philadelphia, PA: Linguistic Data Consortium, University of Pennsylvania).",,,,,,,,,,,
WORD,Word type,new AoA,new Imageability,MRC AoA,MRC Imageability,Frequency,AoA_Kup,Bird_recalc,Bird_recalc2,,
bug,N,383,508,.,.,0.6866,3.79,7.20831,7.00924956,,
build,V,251,.,.,399,2.3842,4.45,4.62507,4.79899404,,
builder,N,343,.,.,551,1.0394,5.95,6.42551,6.28412796,,
built,A,292,395,.,.,2.3842,#N/A,5.42744,5.42939856,,
Bulgaria,N,578,364,.,.,0.1931,#N/A,11.02446,11.23342536,,
bull,N,286,639,.,.,1.44,4.53,5.31002,5.33398584,,
bully,N,349,539,.,.,0.6042,6.05,6.54293,6.38982804,,
bully,V,359,475,.,.,0.943,6.05,6.73863,6.56840124,,
bungalow,N,380,.,.,543,0.887,12.58,7.1496,6.953196,,
bungee jump,V,625,576,.,.,-1.5539,#N/A,11.94425,12.422625,,
Burma,N,578,381,.,.,0.5024,#N/A,11.02446,11.23342536,,
burst,V,294,.,.,.,1.5809,7.72,5.46658,5.46144344,,
Burundi,N,644,171,.,.,-0.5528,#N/A,12.31608,12.92222544,,
bury,V,313,.,.,401,1.7004,6.28,5.83841,5.77187076,,
bus driver,N,254,596,.,.,-1.5539,#N/A,4.68378,4.84340664,,
businessman,N,482,539,.,.,1.3662,9.38,9.14574,9.01089096,,
but,F,233,208,.,206,3.7334,4.601853,4.27281,4.53820356,,
butter,V,235,515,206,603,0.4192,5.78,4.31195,4.566699,,
buy,V,237,.,.,397,2.4093,5.56,4.35109,4.59531476,,
by,F,231,.,.,229,3.6381,5.411785,4.23367,4.50982844,,
cabinet minister,N,578,541,.,.,-1.5539,#N/A,11.02446,11.23342536,,
calculate,V,473,428,.,.,1.4812,9.26,8.96961,8.81674116,,
calf,N,294,.,.,565,1.3142,6.63,5.46658,5.46144344,,
call,V,254,421,225,424,2.8416,4.74,4.68378,4.84340664,,
callousness,N,597,273,.,.,-0.0506,11.19,11.39629,11.70616436,,
calm,A,395,.,.,439,1.4042,6.26,7.44315,7.236171,,
calm,N,482,.,.,439,0.9318,6.26,9.14574,9.01089096,,
camel,N,303,.,.,561,1.3994,5.11,5.64271,5.60713436,,
can,V,197,416,.,369,3.598,4.32,3.56829,4.04586036,,
Canada,N,404,616,.,.,1.3786,#N/A,7.61928,7.40920464,,
canary,N,326,.,.,533,0.5106,7.32,6.09282,5.99052504,,
cannot,V,267,241,.,.,2.394,4.82565,4.93819,5.03898956,,
car maker,N,460,451,.,.,-1.5539,#N/A,8.7152,8.540604,,
care,V,338,408,.,383,2.0846,5.65,6.32766,6.19687176,,
carer,N,523,512,.,.,-1.5539,10.111522,9.94811,9.92618316,,
carpenter,N,387,564,.,.,0.6107,7.393987,7.28659,7.08440876,,
carpet,N,244,.,.,538,1.4779,6.05,4.48808,4.69641744,,
carpet fitter,N,486,534,.,.,-1.5539,#N/A,9.22402,9.09796184,,
carpet layer,N,501,515,.,.,-1.5539,#N/A,9.51757,9.42876404,,
carve,V,362,541,.,.,1.2911,6.35,6.79734,6.62255976,,
cast,V,471,367,.,483,1.6146,7.24,8.93047,8.77392764,,
caste,N,597,293,.,423,0.76,13.07,11.39629,11.70616436,,
categorise,V,595,273,.,.,0.301,#N/A,11.35715,11.655891,,
Catholic,N,477,428,.,.,1.1973,7.84,9.04789,8.90272916,,
Catholicism,N,536,362,.,.,0.1461,9.770498,10.20252,10.22695584,,
cause,V,416,228,408,282,2.2349,5.84,7.85412,7.64370624,,
cerise,N,551,440,.,.,-1.2218,16.54835,10.49607,10.58031804,,
certain,A,372,268,.,.,2.0215,8.2,6.99304,6.80504336,,
certainly,ADV,385,239,.,.,2.3562,7.244789,7.24745,7.046769,,
Ceylon,N,534,440,.,.,-1.5539,#N/A,10.16338,10.18035224,,
Chad,N,640,239,.,.,0.4456,#N/A,12.2378,12.816144,,
chance,N,368,277,.,354,2.237,7.78,6.91476,6.73168896,,
change,N,338,315,.,.,2.3256,4.26,6.32766,6.19687176,,
change,V,332,.,.,.,2.663,4.26,6.21024,6.09315696,,
chaos,N,516,.,.,464,1.1849,10.05,9.81112,9.76633424,,
chap,N,394,515,.,.,1.4513,10,7.42358,7.21709544,,
charlady,N,495,529,.,.,-0.5528,13,9.40015,9.295631,,
charming,A,415,.,.,461,1.3448,6.26,7.83455,7.623999,,
chart,N,413,534,.,531,1.255,7.59,7.79541,7.58467476,,
chart,V,506,383,.,531,0.2385,7.59,9.61542,9.54053544,,
chase,V,282,529,.,.,1.3071,5.53,5.23174,5.27097896,,
chasm,N,547,.,.,456,0.4099,14.33,10.41779,10.48542636,,
chastise,V,522,429,.,.,-0.0757,12.5,9.92854,9.90325736,,
chat,V,348,508,.,.,1.0674,7.33,6.52336,6.37213616,,
chatter,V,359,483,.,.,1.0095,7.56,6.73863,6.56840124,,
cheat,N,335,405,.,457,0.1451,5.11,6.26895,6.144879,,
cheat,V,338,.,.,457,1.1451,5.11,6.32766,6.19687176,,
check,V,383,401,.,.,1.9198,5.53,7.20831,7.00924956,,
cheer,V,308,.,.,.,1.1784,5,5.74056,5.68912656,,
cheerful,A,314,.,.,475,1.267,7.68,5.85798,5.78850984,,
cheerfulness,N,366,514,.,.,0.2253,8.15,6.87562,6.69519224,,
cheetah,N,456,562,.,.,-0.1739,8.16,8.63692,8.45666144,,
chef,N,469,639,.,.,0.525,8.3,8.89133,8.73123444,,
chemical,N,497,358,.,.,1.3817,9.5,9.43929,9.33988836,,
chemist,N,398,535,.,.,0.871,8.94,7.50186,7.29357816,,
chemistry,N,478,.,.,458,1.1237,9.94,9.06746,8.92430136,,
chew,V,223,.,.,527,1.3047,4.05,4.07711,4.39753116,,
chic,N,562,.,.,437,0.2095,9.53,10.71134,10.84375176,,
child,N,221,.,.,619,3.0347,5.14536,4.03797,4.36975764,,
childminder,N,521,487,.,.,-1.5539,#N/A,9.90897,9.88036164,,
children,N,226,.,.,597,3.0347,4.09545,4.13582,4.43941704,,
Chile,N,575,413,.,.,0.7474,#N/A,10.96575,11.159775,,
chill,N,376,381,.,.,0.8228,6.4,7.07132,6.87887904,,
chimpanzee,N,376,620,.,.,0.5328,7.26,7.07132,6.87887904,,
China,N,445,557,.,597,1.723,#N/A,8.42165,8.228301,,
chinchilla,N,570,.,.,530,-0.6508,12.67,10.8679,11.037626,,
chipmunk,N,564,.,.,609,-0.9518,4.7,10.75048,10.89203984,,
choice,N,379,303,.,.,2.0637,5.17,7.13003,6.93457164,,
choke,V,318,508,.,.,1.1587,6.11,5.93626,5.85536696,,
chop,N,333,569,317,575,0.7014,6.74,6.22981,6.11036756,,
chop,V,297,.,317,575,1.29,6.74,5.52529,5.50973636,,
chorus,N,379,529,.,509,1.0143,7.5,7.13003,6.93457164,,
chose,V,331,272,.,.,2.2538,#N/A,6.19067,6.07597644,,
Christian,N,389,428,.,.,1.3746,#N/A,7.32573,7.12216884,,
Christian Science,N,607,202,.,.,-1.5539,#N/A,11.59199,11.95933596,,
Christian Scientist,N,616,227,.,.,-1.5539,#N/A,11.76812,12.18976224,,
Christianity,N,432,413,.,.,1.152,#N/A,8.16724,7.96311296,,
chuckle,V,355,515,.,497,0.8041,6.3,6.66035,6.496611,,
Church of England,N,392,483,.,.,-1.5539,#N/A,7.38444,7.17903456,,
Church of Scotland,N,532,335,.,.,-1.5539,#N/A,10.12424,10.13386896,,
Church of Wales,N,562,281,.,.,-1.5539,#N/A,10.71134,10.84375176,,
cigarette,N,264,.,362,645,1.8523,6.39,4.87948,4.99340384,,
cinder,N,325,.,.,519,0.2095,7.57,6.07325,5.973525,,
circle,V,340,496,214,591,1.0503,3.67,6.3668,6.231684,,
civil,A,519,.,.,317,1.8296,10.89,9.86983,9.83466044,,
civil servant,N,581,502,.,.,-1.5539,#N/A,11.08317,11.30734644,,
clang,V,402,424,.,445,0.4953,9.53,7.58014,7.37054216,,
clarity,N,564,286,.,.,1.035,10.55,10.75048,10.89203984,,
class,N,256,460,.,.,2.4385,4.95,4.72292,4.87316544,,
clatter,V,370,416,.,.,0.8156,8.74,6.9539,6.768306,,
clean,A,213,546,.,454,1.7975,3.89,3.88141,4.25986676,,
clean,V,236,.,.,454,1.7818,3.89,4.33152,4.58099184,,
cleaner,N,346,561,.,.,1.0523,5.76,6.48422,6.33684264,,
cleft,N,553,327,.,.,0.5024,11.83,10.53521,10.62794436,,
clergyman,N,443,577,.,.,0.8506,9.72,8.38251,8.18717196,,
clerk,N,465,508,.,.,1.4787,6.74,8.81305,8.646209,,
cleverness,N,411,298,.,.,0.3032,7.75,7.75627,7.54547084,,
clip,V,385,408,.,.,0.6767,6.61,7.24745,7.046769,,
clockmaker,N,437,498,.,.,-1.5539,8.74,8.26509,8.06450676,,
close,V,245,.,283,420,2.081,4.5,4.50765,4.710981,,
clothes designer,N,549,483,.,.,-1.5539,#N/A,10.45693,10.53281204,,
clothing,N,301,.,.,588,1.536,4.22,5.60357,5.57454804,,
club,N,351,521,.,522,2.0864,5.89,6.58207,6.42530204,,
coach,N,346,574,314,560,1.536,6.89,6.48422,6.33684264,,
coachman,N,407,491,.,.,0.2095,11.39,7.67799,7.46742396,,
coast,N,311,605,.,588,1.7038,6.43,5.79927,5.73868284,,
cobbler,N,327,566,.,.,-0.0223,9,6.11239,6.00755516,,
cock,N,316,584,314,586,0.8544,11.32,5.89712,5.82187824,,
cod,N,368,561,.,.,0.9903,11.5,6.91476,6.73168896,,
cogitate,V,635,198,.,.,-1.2218,14.86,12.13995,12.684219,,
cold,A,180,483,183,531,2.2193,3.95,3.2356,3.826916,,
cold,N,256,434,183,531,1.362,3.95,4.72292,4.87316544,,
coldness,N,325,408,.,.,0.42,6.89,6.07325,5.973525,,
collate,V,607,315,.,.,-0.0223,15.06,11.59199,11.95933596,,
collect,V,346,.,.,.,1.8447,5.61,6.48422,6.33684264,,
college,N,484,.,.,590,2.0124,8.37,9.18488,9.05436624,,
colour,N,214,529,.,513,2.0464,#N/A,3.90098,4.27349784,,
Columbia,N,598,352,.,.,-1.5539,#N/A,11.41586,11.73134616,,
comb,V,217,552,.,.,0.9484,5.5,3.95969,4.31457156,,
combine,V,474,383,.,359,1.8227,7.47,8.98918,8.83819304,,
come,V,244,378,.,322,3.2931,3.32,4.48808,4.69641744,,
comfort,N,348,480,.,421,1.5732,7.29,6.52336,6.37213616,,
comfort,V,389,471,.,421,1.3246,7.29,7.32573,7.12216884,,
commend,V,532,343,.,.,0.6395,10.81,10.12424,10.13386896,,
common,A,416,342,.,276,2.2755,6.94,7.85412,7.64370624,,
communicate,V,493,451,.,.,1.3775,7.63,9.36101,9.25149396,,
Communism,N,613,351,.,.,1.1486,11.74,11.70941,12.11268276,,
Communist,N,611,363,.,.,1.4302,13.22,11.67027,12.06144684,,
compassion,N,568,417,.,.,0.9405,9.05,10.82876,10.98897696,,
compensate,V,585,321,.,.,1.0835,11.6,11.16145,11.406329,,
complain,V,402,444,.,.,1.7142,7.28,7.58014,7.37054216,,
complaint,N,432,356,.,.,1.4444,7.84,8.16724,7.96311296,,
compose,V,488,395,.,.,1.4211,9.16,9.26316,9.14167776,,
compound,N,589,338,.,.,1.2683,11.26,11.23973,11.50579284,,
compound,V,603,219,.,.,0.8837,11.26,11.51371,11.85770636,,
comprehend,V,549,331,.,.,0.8837,11.16,10.45693,10.53281204,,
compromise,V,581,293,.,.,0.8,9.1,11.08317,11.30734644,,
computer operator,N,633,504,.,.,-1.5539,#N/A,12.10081,12.63165956,,
computer programmer,N,635,503,.,.,-1.5539,#N/A,12.13995,12.684219,,
computer salesman,N,631,465,.,.,-1.5539,#N/A,12.06167,12.57922044,,
computing,N,628,417,.,.,0.8189,10.36,12.00296,12.50078736,,
concentrate,V,445,432,.,.,1.7822,8.16,8.42165,8.228301,,
concept,N,592,.,.,258,1.7952,11.44,11.29844,11.58070656,,
condemn,V,525,.,.,349,1.4615,12.5,9.98725,9.972125,,
condemnation,N,570,293,.,.,0.6964,13.15,10.8679,11.037626,,
conduct,V,448,464,.,.,1.5802,8.58,8.48036,8.29022016,,
confectioner,N,478,534,.,.,-0.6576,13.13,9.06746,8.92430136,,
confirm,V,484,356,.,.,1.6475,9.33,9.18488,9.05436624,,
Confucianism,N,648,100,.,.,-0.6576,#N/A,12.39436,13.02878816,,
confuse,V,441,.,.,.,1.3153,6.33,8.34337,8.14616324,,
confuser,N,560,144,.,.,-1.5539,9.51473,10.6722,10.795584,,
Congo,N,570,374,.,.,0.4955,#N/A,10.8679,11.037626,,
congregate,V,513,467,.,.,0.3802,10.29,9.75241,9.69827876,,
Congregational,N,590,281,.,.,-0.6576,10.740285,11.2593,11.530734,,
Congregationalist,N,605,224,.,.,-0.4685,#N/A,11.55285,11.908461,,
connect,V,422,422,.,.,1.6044,7.58,7.97154,7.76258136,,
Conservative,N,542,508,.,373,1.211,13.95,10.31994,10.36748856,,
consider,V,435,.,.,264,2.3189,9.33,8.22595,8.023859,,
console,V,510,445,.,.,0.7597,10.68,9.6937,9.630494,,
constituency,N,598,348,.,.,1.2154,14.59,11.41586,11.73134616,,
construct,V,450,469,.,.,1.4556,8.72,8.5195,8.33165,,
contact,N,439,416,.,449,1.9171,7.78,8.30423,8.10527484,,
contemplate,V,549,373,.,.,1.2509,10.58,10.45693,10.53281204,,
contentment,N,506,437,.,.,0.7427,10.72,9.61542,9.54053544,,
contract,V,570,270,.,457,1.1753,9.21,10.8679,11.037626,,
control,V,456,343,411,347,1.9372,7.26,8.63692,8.45666144,,
converse,V,529,434,.,.,0.6107,12,10.06553,10.06436964,,
convince,V,486,359,.,.,1.4859,8.78,9.22402,9.09796184,,
cook,N,288,616,.,504,1.2643,4.22,5.34916,5.36566976,,
cook,V,251,.,.,504,1.8557,4.22,4.62507,4.79899404,,
cooked,A,258,534,.,.,1.8557,#N/A,4.76206,4.90304456,,
cookery,N,318,502,.,.,0.5599,10.37,5.93626,5.85536696,,
cool,V,279,417,.,429,1.4108,4.58,5.17303,5.22403964,,
cope,V,435,300,.,344,1.6404,9.44,8.22595,8.023859,,
copious,A,596,.,.,304,0.4373,14.6,11.37672,11.68101264,,
Corfu,N,611,437,.,.,-1.5539,#N/A,11.67027,12.06144684,,
cosmology,N,639,180,.,.,-0.2147,11.82,12.21823,12.78969884,,
cost,N,428,265,.,401,2.258,5.67,8.08896,7.88253936,,
cost,V,407,290,.,401,1.7406,5.67,7.67799,7.46742396,,
cougar,N,579,351,.,.,-0.7696,8.11,11.04403,11.25803564,,
cough,V,226,.,.,.,1.0955,4.32,4.13582,4.43941704,,
could,V,256,.,.,210,3.598,#N/A,4.72292,4.87316544,,
council,N,540,412,464,405,2.0784,10.63,10.2808,10.320524,,
councillor,N,570,500,.,.,0.9405,#N/A,10.8679,11.037626,,
counsel,V,611,402,.,.,0.7427,9.42,11.67027,12.06144684,,
counsellor,N,611,467,.,.,0.711,#N/A,11.67027,12.06144684,,
country,N,314,552,329,539,2.7478,7.05,5.85798,5.78850984,,
couple,N,331,577,.,.,2.1094,5.75,6.19067,6.07597644,,
course,N,441,364,.,391,2.8637,7.340702,8.34337,8.14616324,,
covet,V,534,266,.,.,0.3598,12.16,10.16338,10.18035224,,
covetousness,N,562,220,.,.,-0.5528,15.13,10.71134,10.84375176,,
cow,N,174,.,190,632,1.6051,3.94,3.11818,3.75171704,,
cower,V,510,417,.,.,0.3711,10.78,9.6937,9.630494,,
coyote,N,572,371,.,.,0.0899,6.68,10.90704,11.08639536,,
crack,N,305,492,.,.,1.3469,6.33,5.68185,5.639841,,
crack,V,318,457,.,.,1.2695,6.33,5.93626,5.85536696,,
craft,N,426,434,422,429,1.2577,5.83,8.04982,7.84243304,,
creak,V,387,393,.,.,0.9085,8.1,7.28659,7.08440876,,
cream,N,245,605,.,557,1.4795,5.95,4.50765,4.710981,,
create,V,428,420,.,.,2.205,7.1,8.08896,7.88253936,,
creativity,N,527,367,.,.,0.9375,8.32,10.02639,10.01818716,,
credo,N,631,133,.,.,-0.1079,15.18,12.06167,12.57922044,,
creed,N,534,272,.,.,0.7642,9.17,10.16338,10.18035224,,
cricketer,N,383,619,.,.,0.6665,14.8,7.20831,7.00924956,,
crimson,N,389,615,.,.,0.2529,10.28,7.32573,7.12216884,,
cringe,V,488,490,.,.,0.42,9.11,9.26316,9.14167776,,
criticise,V,488,421,.,.,1.4472,#N/A,9.26316,9.14167776,,
crochet,V,441,521,.,.,0.1072,9,8.34337,8.14616324,,
crocodile,N,316,.,.,601,0.7471,5.11,5.89712,5.82187824,,
crow,N,279,591,308,578,-1.5539,5.74,5.17303,5.22403964,,
cruel,A,303,.,.,422,1.4504,7.63,5.64271,5.60713436,,
cruelty,N,361,502,.,.,1.2936,8.89,6.77777,6.60447684,,
cry,N,159,619,.,478,1.4681,2.78,2.82463,3.56845724,,
Cuba,N,588,430,.,.,1.255,#N/A,11.22016,11.48088176,,
cube,V,553,338,383,575,0.2385,7.32,10.53521,10.62794436,,
cuddle,V,211,609,.,.,0.5599,6.16,3.84227,4.23269484,,
cull,N,611,358,.,.,-0.4089,15.79,11.67027,12.06144684,,
cull,V,613,414,.,.,0.4378,15.79,11.70941,12.11268276,,
culture,N,568,.,.,339,1.91,9.52,10.82876,10.98897696,,
cure,V,392,461,350,397,1.3303,9.58,7.38444,7.17903456,,
curl,V,320,504,.,.,1.1833,6.39,5.9754,5.888976,,
cycle,V,273,611,.,.,0.7889,7.5,5.05561,5.13097316,,
Cyprus,N,575,492,.,.,1.0237,#N/A,10.96575,11.159775,,
Czech Republic,N,622,366,.,.,-1.5539,#N/A,11.88554,12.34473336,,
Czechoslovakia,N,590,377,.,.,0.8116,#N/A,11.2593,11.530734,,
daffodil,N,271,.,.,611,0.3492,5.63,5.01647,5.10019164,,
dainty,A,348,447,.,.,0.2648,8.76,6.52336,6.37213616,,
dairyman,N,404,562,.,.,-0.6576,9.30159,7.61928,7.40920464,,
damage,N,344,531,358,443,1.6459,7.2,6.44508,6.30166944,,
damage,V,361,492,358,443,1.568,7.2,6.77777,6.60447684,,
damask,N,570,316,.,.,-0.2518,14,10.8679,11.037626,,
damn,V,549,286,.,.,1.276,8.3,10.45693,10.53281204,,
dance,N,295,553,.,510,1.566,4.63,5.48615,5.477511,,
dance,V,269,593,.,510,1.8179,4.63,4.97733,5.06953044,,
dash,V,333,514,.,.,1.1109,7.74,6.22981,6.11036756,,
daughter,N,256,589,.,.,2.1098,4.95,4.72292,4.87316544,,
day,N,204,.,.,526,2.9516,3.5,3.70528,4.13854064,,
deal,V,413,421,381,383,2.0192,6,7.79541,7.58467476,,
dear,N,295,.,.,374,1.5409,5.550326,5.48615,5.477511,,
dearly,ADV,404,294,.,.,0.5328,8.406402,7.61928,7.40920464,,
death,N,342,.,.,498,2.379,5.37,6.40594,6.26661656,,
debase,V,620,212,.,.,0.3802,14,11.8464,12.292956,,
debt,N,521,.,.,384,1.515,10.44,9.90897,9.88036164,,
deceitful,A,519,321,.,.,0.1072,12.94,9.86983,9.83466044,,
deceive,V,512,356,.,.,1.1219,8.68,9.73284,9.67565376,,
December,N,295,572,.,.,1.579,5.006819,5.48615,5.477511,,
deception,N,540,347,.,.,0.9263,10,10.2808,10.320524,,
decide,V,363,327,.,.,2.3983,7.2,6.81691,6.64067276,,
declare,V,471,374,.,.,1.7423,10.74,8.93047,8.77392764,,
decorator,N,430,578,.,.,0.3032,10.25,8.1281,7.922766,,
decrease,V,454,346,.,.,1.1553,8.56,8.59778,8.41487064,,
deem,V,579,154,.,.,0.7686,10.28,11.04403,11.25803564,,
deepen,V,458,311,.,.,0.8837,9.21,8.67606,8.49857256,,
defame,V,610,175,.,.,-0.2147,12.05,11.6507,12.035874,,
defeat,N,416,383,.,402,1.3641,8.74,7.85412,7.64370624,,
defend,V,414,.,.,.,1.6709,8.16,7.81498,7.60432184,,
define,V,538,270,.,.,1.7428,8.53,10.24166,10.27367976,,
defraud,V,588,311,.,.,-0.2518,12.39,11.22016,11.48088176,,
defrost,V,527,519,.,.,-0.0506,7.8,10.02639,10.01818716,,
defy,V,449,362,.,.,1.0546,9.78,8.49993,8.31092004,,
delay,V,430,362,.,.,1.4089,8.78,8.1281,7.922766,,
deliberate,V,573,305,.,341,0.3492,11.4,10.92661,11.11082516,,
delight,N,432,406,414,459,1.4461,8.68,8.16724,7.96311296,,
delight,V,449,412,414,459,1.5388,8.68,8.49993,8.31092004,,
delighted,A,412,514,.,.,1.5388,8.11,7.77584,7.56505776,,
demand,V,399,421,.,.,1.9034,7.83,7.52143,7.31277404,,
demented,A,577,438,.,.,0.5729,11.61,11.00489,11.20884516,,
democracy,N,612,.,.,364,1.7497,10.17,11.68984,12.08704976,,
Democrat,N,635,298,.,.,1.1801,11.21,12.13995,12.684219,,
demolish,V,485,.,.,497,0.871,9.11,9.20445,9.076149,,
Denmark,N,513,421,.,.,-1.5539,#N/A,9.75241,9.69827876,,
denote,V,582,168,.,.,0.5105,11.241164,11.10274,11.33204696,,
dent,N,377,483,361,486,0.1621,7.33,7.09089,6.89741316,,
dentist,N,295,.,.,622,0.9646,5.22,5.48615,5.477511,,
dentistry,N,452,547,.,.,0.2253,8.81,8.55864,8.37320016,,
deny,V,410,335,.,.,1.816,7.8,7.7367,7.525914,,
depart,V,405,472,.,.,1.2911,9.89,7.63885,7.428581,,
dependability,N,568,315,.,.,-0.6576,10.05,10.82876,10.98897696,,
depict,V,582,.,.,316,1.0673,11.5,11.10274,11.33204696,,
depose,V,606,230,.,.,0.0682,13.56,11.57242,11.93388344,,
deprive,V,531,319,.,.,-1.5539,9.37,10.10467,10.11067244,,
depth,N,399,455,.,.,1.4622,9.72,7.52143,7.31277404,,
dermatology,N,635,321,.,.,-1.2218,12.3,12.13995,12.684219,,
descend,V,458,467,.,.,1.3985,9.19,8.67606,8.49857256,,
describe,V,390,.,.,315,2.217,7.67,7.3453,7.141094,,
deselect,V,628,233,.,.,-1.5539,11.454304,12.00296,12.50078736,,
design,N,463,444,403,407,1.9079,10.05,8.77391,8.60387676,,
design,V,471,451,403,407,1.9405,10.05,8.93047,8.77392764,,
designer,N,502,503,.,.,1.3694,9.05,9.53714,9.45105816,,
desire,N,451,426,.,368,1.8267,9.95,8.53907,8.35241004,,
despair,N,482,459,458,388,1.4365,9.56,9.14574,9.01089096,,
despair,V,496,429,458,388,0.5922,9.56,9.41972,9.31774464,,
despise,V,516,.,.,450,1.1604,12.38,9.81112,9.76633424,,
destroy,V,393,.,.,444,2.0167,6.7,7.40401,7.19804996,,
deteriorate,V,555,385,.,.,0.8645,11.78,10.57435,10.675691,,
determination,N,487,.,.,386,1.2925,8.94,9.24359,9.11980476,,
determine,V,531,.,.,295,1.7142,8.89,10.10467,10.11067244,,
deviate,V,612,301,.,.,0.2648,13.11,11.68984,12.08704976,,
dice,V,531,351,.,.,-0.0487,6.37,10.10467,10.11067244,,
dictatorship,N,599,405,.,.,0.9201,11.72,11.43543,11.75655804,,
did,V,244,.,.,329,3.6541,#N/A,4.48808,4.69641744,,
die,V,286,.,.,499,2.3785,4.53,5.31002,5.33398584,,
differ,V,473,342,.,.,1.3577,9,8.96961,8.81674116,,
different,A,314,.,.,329,2.6027,5.5,5.85798,5.78850984,,
dig,V,230,.,.,.,1.6021,4.19,4.2141,4.495686,,
digger,N,320,471,.,.,0.0492,8.118663,5.9754,5.888976,,
digress,V,607,220,.,.,-0.0223,14.61,11.59199,11.95933596,,
dilute,V,486,433,.,.,0.7292,12.11,9.22402,9.09796184,,
diminish,V,583,301,.,.,1.4146,10.95,11.12231,11.35677756,,
diplomacy,N,622,317,.,.,0.7803,10.89,11.88554,12.34473336,,
dirtiness,N,355,537,.,.,-1.5539,5.37,6.66035,6.496611,,
dirty,V,284,500,.,485,-0.0768,4.55,5.27088,5.30242224,,
disability,N,516,550,.,.,0.7597,9.33,9.81112,9.76633424,,
disagree,V,389,.,.,.,1.1572,8.37,7.32573,7.12216884,,
disallow,V,525,315,.,.,-0.1739,11.19,9.98725,9.972125,,
disappear,V,346,469,.,.,1.8385,5.37,6.48422,6.33684264,,
disappoint,V,387,.,.,351,0.4547,7,7.28659,7.08440876,,
disappointed,A,381,.,.,384,1.3165,6.95,7.16917,6.97185044,,
disapprove,V,486,393,.,.,0.943,8.05,9.22402,9.09796184,,
discipline,V,469,465,.,386,0.9776,7.7,8.89133,8.73123444,,
disclose,V,551,320,.,.,0.8932,11.72,10.49607,10.58031804,,
discomfort,N,486,460,.,.,1.0438,9.53,9.22402,9.09796184,,
discontentment,N,564,373,.,.,-1.5539,13.084825,10.75048,10.89203984,,
discover,V,370,447,.,.,2.1449,7.61,6.9539,6.768306,,
discuss,V,437,451,.,.,2.11,7.89,8.26509,8.06450676,,
disease,N,396,.,.,487,1.9352,7.55,7.46272,7.25527664,,
disfavour,V,596,200,.,.,-1.5539,#N/A,11.37672,11.68101264,,
disgust,N,469,422,.,.,1.0674,7.68,8.89133,8.73123444,,
disgusting,A,448,452,.,.,0.9952,6.06,8.48036,8.29022016,,
disharmony,N,596,305,.,.,-0.1739,11.63,11.37672,11.68101264,,
dishonest,A,402,418,.,.,0.7597,5.68,7.58014,7.37054216,,
disillusion,V,592,307,.,.,0.2529,13.79,11.29844,11.58070656,,
disintegrate,V,575,428,.,.,0.8965,11.42,10.96575,11.159775,,
dislike,N,353,414,.,.,1.0237,5.42,6.62121,6.46089636,,
dismissiveness,N,611,243,.,.,-1.5539,12.125695,11.67027,12.06144684,,
disobedience,N,385,420,.,.,0.4713,7.84,7.24745,7.046769,,
disobey,V,351,440,.,.,0.5024,6.61,6.58207,6.42530204,,
disperse,V,547,387,.,.,0.9952,12.11,10.41779,10.48542636,,
dispiritedness,N,628,211,.,.,-1.5539,14.672718,12.00296,12.50078736,,
display,N,425,475,400,453,1.5777,7.72,8.03025,7.822425,,
display,V,445,475,400,453,1.5777,7.72,8.42165,8.228301,,
disregard,N,575,234,.,.,0.3385,10.35,10.96575,11.159775,,
disregard,V,542,293,.,.,0.7846,10.35,10.31994,10.36748856,,
dissolve,V,432,465,.,.,1.2658,9.2,8.16724,7.96311296,,
distill,V,579,351,.,.,0.4771,#N/A,11.04403,11.25803564,,
distraught,A,605,440,.,.,0.3711,11,11.55285,11.908461,,
distrust,N,527,360,.,.,0.5465,10.1,10.02639,10.01818716,,
disturb,V,396,440,.,.,1.6387,8.22,7.46272,7.25527664,,
disunite,V,616,227,.,.,-0.4685,12.551975,11.76812,12.18976224,,
disunited,A,617,242,.,.,-0.4685,12.168323,11.78769,12.21551556,,
dither,V,465,398,.,.,-0.3468,14.2,8.81305,8.646209,,
ditherance,N,626,165,.,.,-1.5539,13.532419,11.96382,12.44864904,,
dive,V,346,.,322,586,1.0993,7.21,6.48422,6.33684264,,
diver,N,348,558,.,.,0.3599,6.89,6.52336,6.37213616,,
divide,V,343,456,.,.,1.8063,7.16,6.42551,6.28412796,,
do,N,439,382,.,247,-0.7757,3.6,8.30423,8.10527484,,
do,V,265,348,.,247,3.6541,3.6,4.89905,5.008569,,
docker,N,484,467,.,.,0.4639,#N/A,9.18488,9.05436624,,
doctor,N,241,652,.,600,2.2662,4.6,4.42937,4.65290724,,
doctor,V,448,417,.,600,0.1274,4.6,8.48036,8.29022016,,
doe,N,439,.,.,532,0.4373,7.59647,8.30423,8.10527484,,
