Word,task,rating,lexicalCategory,phonemes,totalMorphemes,concreteness,babyAVG
animal,alien,90,noun,6.0,1,4.61,4.888888889
animal,alien,10,noun,6.0,1,4.61,4.888888889
animal,alien,40,noun,6.0,1,4.61,4.888888889
animal,alien,32,noun,6.0,1,4.61,4.888888889
animal,alien,10,noun,6.0,1,4.61,4.888888889
animal,alien,51,noun,6.0,1,4.61,4.888888889
animal,alien,49,noun,6.0,1,4.61,4.888888889
animal,alien,74,noun,6.0,1,4.61,4.888888889
animal,alien,50,noun,6.0,1,4.61,4.888888889
animal,alien,12,noun,6.0,1,4.61,4.888888889
animal,alien,59,noun,6.0,1,4.61,4.888888889
ankle,alien,36,noun,4.0,1,4.81,4.454545455
ankle,alien,19,noun,4.0,1,4.81,4.454545455
ankle,alien,5,noun,4.0,1,4.81,4.454545455
ankle,alien,49,noun,4.0,1,4.81,4.454545455
ankle,alien,0,noun,4.0,1,4.81,4.454545455
ankle,alien,53,noun,4.0,1,4.81,4.454545455
ankle,alien,44,noun,4.0,1,4.81,4.454545455
ankle,alien,29,noun,4.0,1,4.81,4.454545455
ankle,alien,6,noun,4.0,1,4.81,4.454545455
ankle,alien,12,noun,4.0,1,4.81,4.454545455
ankle,alien,40,noun,4.0,1,4.81,4.454545455
ankle,alien,64,noun,4.0,1,4.81,4.454545455
another,alien,0,function,5.0,1,2.69,2.133333333
another,alien,2,function,5.0,1,2.69,2.133333333
another,alien,38,function,5.0,1,2.69,2.133333333
another,alien,100,function,5.0,1,2.69,2.133333333
another,alien,14,function,5.0,1,2.69,2.133333333
another,alien,61,function,5.0,1,2.69,2.133333333
another,alien,32,function,5.0,1,2.69,2.133333333
another,alien,14,function,5.0,1,2.69,2.133333333
another,alien,1,function,5.0,1,2.69,2.133333333
another,alien,1,function,5.0,1,2.69,2.133333333
ant,alien,29,noun,3.0,1,4.86,1.6
ant,alien,20,noun,3.0,1,4.86,1.6
ant,alien,10,noun,3.0,1,4.86,1.6
ant,alien,1,noun,3.0,1,4.86,1.6
ant,alien,53,noun,3.0,1,4.86,1.6
ant,alien,70,noun,3.0,1,4.86,1.6
ant,alien,50,noun,3.0,1,4.86,1.6
ant,alien,9,noun,3.0,1,4.86,1.6
ant,alien,35,noun,3.0,1,4.86,1.6
ant,alien,16,noun,3.0,1,4.86,1.6
any,alien,0,function,3.0,1,1.72,2.5
any,alien,10,function,3.0,1,1.72,2.5
any,alien,60,function,3.0,1,1.72,2.5
any,alien,2,function,3.0,1,1.72,2.5
any,alien,9,function,3.0,1,1.72,2.5
any,alien,20,function,3.0,1,1.72,2.5
any,alien,3,function,3.0,1,1.72,2.5
any,alien,9,function,3.0,1,1.72,2.5
any,alien,90,function,3.0,1,1.72,2.5
any,alien,0,function,3.0,1,1.72,2.5
any,alien,2,function,3.0,1,1.72,2.5
any,alien,60,function,3.0,1,1.72,2.5
apple,alien,0,noun,3.0,1,5.0,3.5
apple,alien,40,noun,3.0,1,5.0,3.5
apple,alien,0,noun,3.0,1,5.0,3.5
apple,alien,3,noun,3.0,1,5.0,3.5
apple,alien,11,noun,3.0,1,5.0,3.5
apple,alien,45,noun,3.0,1,5.0,3.5
apple,alien,40,noun,3.0,1,5.0,3.5
apple,alien,5,noun,3.0,1,5.0,3.5
apple,alien,61,noun,3.0,1,5.0,3.5
apple,alien,77,noun,3.0,1,5.0,3.5
are,alien,0,function,1.0,1,1.96,2.0
are,alien,1,function,1.0,1,1.96,2.0
are,alien,5,function,1.0,1,1.96,2.0
are,alien,17,function,1.0,1,1.96,2.0
are,alien,29,function,1.0,1,1.96,2.0
are,alien,50,function,1.0,1,1.96,2.0
are,alien,0,function,1.0,1,1.96,2.0
are,alien,0,function,1.0,1,1.96,2.0
are,alien,1,function,1.0,1,1.96,2.0
are,alien,60,function,1.0,1,1.96,2.0
are,alien,51,function,1.0,1,1.96,2.0
are,alien,9,function,1.0,1,1.96,2.0
arm,alien,50,noun,2.0,1,4.96,4.3
arm,alien,60,noun,2.0,1,4.96,4.3
arm,alien,33,noun,2.0,1,4.96,4.3
arm,alien,22,noun,2.0,1,4.96,4.3
arm,alien,47,noun,2.0,1,4.96,4.3
arm,alien,71,noun,2.0,1,4.96,4.3
arm,alien,67,noun,2.0,1,4.96,4.3
arm,alien,70,noun,2.0,1,4.96,4.3
arm,alien,30,noun,2.0,1,4.96,4.3
arm,alien,0,noun,2.0,1,4.96,4.3
arm,alien,0,noun,2.0,1,4.96,4.3
arm,alien,50,noun,2.0,1,4.96,4.3
around,alien,19,function,5.0,1,1.96,2.909090909
around,alien,44,function,5.0,1,1.96,2.909090909
around,alien,30,function,5.0,1,1.96,2.909090909
around,alien,0,function,5.0,1,1.96,2.909090909
around,alien,49,function,5.0,1,1.96,2.909090909
around,alien,38,function,5.0,1,1.96,2.909090909
around,alien,9,function,5.0,1,1.96,2.909090909
around,alien,41,function,5.0,1,1.96,2.909090909
around,alien,100,function,5.0,1,1.96,2.909090909
around,alien,39,function,5.0,1,1.96,2.909090909
around,alien,0,function,5.0,1,1.96,2.909090909
around,alien,86,function,5.0,1,1.96,2.909090909
around,alien,20,function,5.0,1,1.96,2.909090909
around,alien,36,function,5.0,1,1.96,2.909090909
around,alien,46,function,5.0,1,1.96,2.909090909
around,alien,0,function,5.0,1,1.96,2.909090909
around,alien,65,function,5.0,1,1.96,2.909090909
around,alien,8,function,5.0,1,1.96,2.909090909
asleep,alien,80,adjective,5.0,1,3.71,7.19047619
asleep,alien,5,adjective,5.0,1,3.71,7.19047619
asleep,alien,100,adjective,5.0,1,3.71,7.19047619
asleep,alien,0,adjective,5.0,1,3.71,7.19047619
asleep,alien,60,adjective,5.0,1,3.71,7.19047619
asleep,alien,44,adjective,5.0,1,3.71,7.19047619
asleep,alien,100,adjective,5.0,1,3.71,7.19047619
asleep,alien,52,adjective,5.0,1,3.71,7.19047619
asleep,alien,70,adjective,5.0,1,3.71,7.19047619
asleep,alien,75,adjective,5.0,1,3.71,7.19047619
asleep,alien,63,adjective,5.0,1,3.71,7.19047619
asleep,alien,0,adjective,5.0,1,3.71,7.19047619
asleep,alien,1,adjective,5.0,1,3.71,7.19047619
asleep,alien,1,adjective,5.0,1,3.71,7.19047619
asleep,alien,10,adjective,5.0,1,3.71,7.19047619
asleep,alien,46,adjective,5.0,1,3.71,7.19047619
asleep,alien,0,adjective,5.0,1,3.71,7.19047619
asleep,alien,50,adjective,5.0,1,3.71,7.19047619
asleep,alien,81,adjective,5.0,1,3.71,7.19047619
at,alien,5,function,,1,2.07,2.0
at,alien,75,function,,1,2.07,2.0
at,alien,20,function,,1,2.07,2.0
at,alien,50,function,,1,2.07,2.0
at,alien,24,function,,1,2.07,2.0
at,alien,100,function,,1,2.07,2.0
at,alien,39,function,,1,2.07,2.0
at,alien,29,function,,1,2.07,2.0
at,alien,21,function,,1,2.07,2.0
at,alien,10,function,,1,2.07,2.0
at,alien,7,function,,1,2.07,2.0
at,alien,51,function,,1,2.07,2.0
at,alien,3,function,,1,2.07,2.0
at,alien,0,function,,1,2.07,2.0
at,alien,5,function,,1,2.07,2.0
at,alien,43,function,,1,2.07,2.0
at,alien,0,function,,1,2.07,2.0
aunt,alien,0,noun,3.0,1,4.17,6.7
aunt,alien,19,noun,3.0,1,4.17,6.7
aunt,alien,8,noun,3.0,1,4.17,6.7
aunt,alien,14,noun,3.0,1,4.17,6.7
aunt,alien,0,noun,3.0,1,4.17,6.7
aunt,alien,40,noun,3.0,1,4.17,6.7
aunt,alien,0,noun,3.0,1,4.17,6.7
aunt,alien,14,noun,3.0,1,4.17,6.7
aunt,alien,84,noun,3.0,1,4.17,6.7
aunt,alien,20,noun,3.0,1,4.17,6.7
awake,alien,1,adjective,4.0,1,3.32,6.2
