Word,Word type,PC1,PC2,PC3,PC4,PC5
able,A,1.5272318793770594,-0.15123037890529803,0.8337217863606554,0.37453819477980305,0.2559046363024927
add,V,1.3950317640097838,-0.19810011583066622,0.2289123753580841,-0.7478087835179337,0.44757561865815126
afraid,A,0.03288887809583996,2.4570487537231585,-0.5990445624968109,-0.7057002377624351,-1.0107164546646161
aim,N,0.17735058822558336,-0.17570315282461052,0.5399958613382211,0.018501174487779784,0.27316557995692886
air,N,1.3225203522125608,-0.997096950814765,-0.9000908135153163,0.2463132787041467,-0.13202089548572868
alarm,N,-1.3286352356136473,1.779977575160801,-1.277889350930348,-1.277027002091321,0.8568936588841223
alcoholic,N,-2.572991579585117,1.8444353828947333,1.4639387133587194,-0.49564997535401534,-0.41638221244847734
alive,A,0.36652312133666154,1.0755251728258313,-0.7624923621653877,0.11049015650781498,1.7121022705585502
alligator,N,-1.9037837817664982,0.188818125472813,-1.039173744113222,-0.5512218925413113,0.00876649543056621
anger,N,-0.557777357244906,2.804134952332391,-0.22852946364337043,-0.8724894949176085,-0.17209986160678606
angry,A,-0.494172818685351,3.108991573488209,-0.9215637204338314,-0.5375273850403647,-0.09404296969117498
antelope,N,-1.3253346912646637,-1.3265392681652854,1.187319192940675,-1.5462517169821839,0.4354642123819819
ape,N,-0.8045119412397322,-0.5264720923774256,-0.8517837372247304,-0.12333167147351295,-0.224577252395504
arch,N,-0.5136035039662827,-0.9376797604585873,-1.076490445405118,1.3223251680207015,-0.7405240256267174
argue,V,-0.4852690258985497,2.8199894940269274,-0.07412507386835482,-1.478911517903831,0.6725489628178268
arrange,V,0.3390931936861023,0.14760386775542803,0.8694650428012841,0.0410544871067863,-0.3530469160215429
attempt,N,0.4227224037346164,0.8240462579716717,1.378157140955736,-0.4184587232902751,1.1417496431698768
avoid,V,-0.024590948870280915,0.8640830378278508,1.6490335862427445,-0.4737176293068516,-0.5236830017834069
awake,V,-0.5296507562265009,0.587980944341653,-0.8429206289205105,1.0689892337972366,1.4992255577340672
baboon,N,-1.7388801165793675,-0.22874866861203996,-0.3786240492117112,0.05481301126486732,0.5583742550669251
baby,N,1.2703244087361691,-0.09342125222741146,-2.601514042497455,-0.024983429252256804,0.6118292035126935
back,F,2.8536198966892967,-0.3868948370233865,-0.08429752550297313,-0.4249534551757929,-2.195711636803433
bad,A,1.5188462443061514,2.403868383201196,-0.0005842008033722957,-0.8201830154055755,-0.6105824709700597
badger,N,-1.0446291952959645,-0.31083425150846933,0.09638873187018816,-0.702438160960298,-0.2816782013967106
banana,N,0.22908923829731587,-1.9776445163984189,-1.3237139175497017,0.05101468502102692,-0.2144524755601059
bat,N,-0.4975755348890846,-0.5496313310982677,-0.8761631986195073,-1.324149106242083,-0.1773761878979953
bath,V,0.31543171784204704,-2.188464672624876,-0.8550473454610926,-0.27859709123529114,0.04043046550613493
battle,N,-0.8083386675809457,2.0243854482944252,-1.184154568042513,-0.9049822370061468,0.302263374914949
be,V,7.0510996104946475,2.237331825648404,2.1687661425000564,1.2555892293380357,-1.9200600798271104
bear,N,-0.10354332332668831,-0.8181342707932281,-0.7294249521953791,-1.4928211478100146,0.07044245262881046
beautiful,A,1.0564184548349238,1.3756508015640587,-0.7145254460287843,1.3856134629578702,2.0890119548110517
beaver,N,-1.3814140336216438,-0.8750664491918101,0.21579148488959526,-0.4352582144448717,-0.32126571415957117
bee,N,-0.7921128416705445,0.9095698406393502,-2.1937250608126235,-1.0736154260626045,-0.17636396626478487
begin,V,1.7568172178781924,-0.18866293216573846,-0.026588462136638184,0.9665289172486953,-0.30908235213357993
beginning,N,0.9425011706432994,-0.5972560745539822,1.1659923524824638,0.4079399086338163,-0.06522473633674826
beige,N,-1.5221304500581159,-1.361591009153195,1.526502278658536,0.9525394557700939,-0.9618751496979872
belong,V,1.2886928355204499,-0.2450309976759365,1.9141420904888737,0.5802669541782636,0.10866435527204986
big,A,1.8545322454619932,0.37838467251334856,-1.1565381672085835,-0.41925312028727596,-0.11173075202648616
black,N,0.7561818559690944,-0.33122864732504037,-0.8578631697903814,0.012565645952278692,-0.542218681739115
blame,V,-0.26039014081751366,2.009921072152454,0.7537341216065949,-0.5906350010257351,-0.587015878736048
blue,N,0.8651819237664381,-1.0835520131778549,-0.1569330562093263,-0.5468946986877821,0.2533327533721247
blush,V,-0.8647620938685985,-0.3407082953953681,-0.6231746536016252,0.5731663413162817,0.7369924174925433
boat,V,-1.622675370550177,-1.31128586946866,-0.06384274167308547,0.7170571343548044,0.2360792259701426
boil,V,-0.5570089652012064,0.9364646943129716,-1.1476511913316902,-0.5643547329558305,0.2283953927096932
bomb,N,-1.7219378719906506,1.7325155071669656,-1.2514287641402762,-0.7305130043600517,-0.7126716436693504
book,N,1.7993009208664523,-1.846883038060443,-0.9260414127876808,-0.9517769335876866,-0.06559352366044813
born,A,1.2971037128322376,-1.0137593976070491,0.7543437844299757,-0.7749762502136459,0.972709124530312
bother,V,0.24567753065247044,1.1612008500572881,0.9622099013137126,0.02048485280936845,-0.22579859048478615
bowl,N,0.2308804962967547,-1.2290358587517305,-1.399854184820743,0.09959646303611934,-0.7666174698386036
box,V,-1.1675974971081557,-2.0027299416675106,-0.012804253431221204,0.2806156810209333,-1.1844581661523246
boy,N,1.5022498796417207,-0.2865574318867306,-2.0549998552001125,-0.3071865189160622,-0.3088166060778335
break,N,-0.6023597310731614,0.946076895129264,-1.0580335516081343,1.3177223596500798,-0.05316298541052837
