Word,Word type,new AoA,Frequency,V.Mean.Sum,V.SD.Sum,V.Rat.Sum,A.Mean.Sum,A.SD.Sum,A.Rat.Sum,rating,phonemes,totalMorphemes,concreteness,babyAVG,Bigram,Conc.M,Conc.SD,Unknown,Total,SUBTLEX
groggy,,,,4.05,2.04,19.0,2.9,2.28,21.0,,,,,,0.0,2.81,1.3,0.0,27.0,46.0
groin,,,,5.1,2.05,20.0,5.5,2.22,22.0,,,,,,0.0,4.58,0.99,1.0,27.0,92.0
groove,,,,6.32,1.16,19.0,5.33,1.96,21.0,,,,,,0.0,3.79,1.42,0.0,28.0,212.0
groovy,,,,6.42,1.46,19.0,4.67,2.32,24.0,,,,,,0.0,1.68,1.19,0.0,28.0,193.0
grope,,,,3.95,1.81,19.0,5.76,1.79,21.0,,,,,,0.0,3.78,0.97,0.0,27.0,31.0
gross,,,,3.2,2.21,20.0,5.0,1.82,21.0,,,,,,0.0,2.96,1.34,0.0,27.0,779.0
grotesque,,,,3.48,2.29,21.0,4.95,2.34,22.0,,,,,,0.0,2.76,1.46,0.0,29.0,80.0
grotto,,,,5.86,1.85,21.0,2.5,1.95,22.0,,,,,,0.0,4.21,1.18,4.0,28.0,34.0
grouch,,,,3.57,2.04,21.0,4.6,2.6,25.0,,,,,,0.0,2.73,1.44,0.0,30.0,24.0
grouchy,,,,3.33,2.13,21.0,4.91,2.48,23.0,,,,,,0.0,2.52,1.28,0.0,27.0,44.0
groundhog,,,,5.19,2.14,21.0,3.12,2.09,25.0,,,,,,0.0,4.93,0.26,0.0,28.0,76.0
grounding,,,,5.09,2.0,22.0,3.84,2.19,19.0,,,,,,0.0,2.56,1.31,2.0,29.0,28.0
groundwork,,,,5.71,1.23,21.0,2.86,1.82,21.0,,,,,,0.0,2.82,1.56,1.0,29.0,23.0
groupie,,,,4.0,1.94,19.0,4.09,2.81,22.0,,,,,,0.0,3.92,1.15,0.0,25.0,68.0
grouping,,,,4.9,1.21,20.0,3.76,1.92,21.0,,,,,,0.0,3.14,1.27,1.0,29.0,20.0
grouse,,,,3.73,1.45,22.0,4.05,2.5,22.0,,,,,,,,,,,
grove,,,,5.26,1.85,19.0,3.73,2.1,22.0,,,,,,0.0,4.76,0.58,1.0,30.0,197.0
grow,,,,6.28,2.08,18.0,2.6,1.73,20.0,,,,,,0.0,3.03,1.54,0.0,30.0,3034.0
growl,,,,4.43,1.72,21.0,3.95,2.54,22.0,,,,,,0.0,4.3,1.1,0.0,27.0,50.0
grownup,,,,5.3,1.81,20.0,4.19,2.2,21.0,,,,,,0.0,2.82,1.54,0.0,28.0,71.0
growth,,,,6.0,1.53,19.0,4.95,1.96,21.0,,,,,,0.0,2.89,1.37,0.0,28.0,329.0
grub,,,,4.16,2.41,19.0,4.45,2.46,22.0,,,,,,0.0,3.86,1.35,0.0,28.0,139.0
grubby,,,,3.2,1.24,20.0,3.45,1.82,20.0,,,,,,0.0,3.04,1.26,1.0,29.0,29.0
gruel,,,,3.48,1.47,21.0,4.0,2.55,21.0,,,,,,0.0,3.93,1.59,2.0,29.0,23.0
grueling,,,,3.36,1.62,22.0,5.0,2.26,19.0,,,,,,0.0,1.77,1.11,0.0,26.0,34.0
gruesome,,,,2.89,1.41,18.0,6.62,1.91,21.0,,,,,,0.0,2.72,1.36,0.0,29.0,104.0
gruff,,,,4.05,2.27,19.0,4.25,2.61,20.0,,,,,,0.0,2.41,1.31,2.0,29.0,28.0
grumpy,,,,2.81,1.25,21.0,5.05,2.28,20.0,,,,,,0.0,2.41,1.12,0.0,27.0,120.0
grunting,,,,4.43,1.69,21.0,3.87,2.22,23.0,,,,,,0.0,3.21,1.26,0.0,28.0,259.0
guacamole,,,,5.47,2.14,19.0,4.76,2.07,21.0,,,,,,0.0,4.89,0.32,0.0,27.0,56.0
guano,,,,4.2,1.32,20.0,3.19,2.09,21.0,,,,,,,,,,,
guarantee,,,,6.17,1.15,18.0,3.67,2.3,18.0,,,,,,0.0,1.96,1.09,0.0,27.0,1123.0
guardhouse,,,,4.96,1.61,23.0,3.67,2.35,18.0,,,,,,0.0,4.67,0.88,2.0,29.0,36.0
guardian,,,,6.5,1.99,20.0,2.91,1.74,22.0,,,,,,0.0,3.28,1.46,0.0,29.0,358.0
guardianship,,,,5.21,2.15,19.0,3.1,1.62,20.0,,,,,,0.0,2.68,1.47,0.0,28.0,25.0
guerrilla,,,,5.3,2.43,20.0,5.59,2.2,22.0,,,,,,0.0,4.24,0.95,0.0,29.0,55.0
guess,,,,5.18,1.33,22.0,3.86,2.2,21.0,,,,,,0.0,2.28,1.19,0.0,29.0,23153.0
guesser,,,,4.32,1.52,22.0,4.39,2.48,23.0,,,,,,0.0,3.14,1.35,2.0,30.0,20.0
guesswork,,,,4.29,1.62,21.0,4.08,2.38,26.0,,,,,,0.0,2.04,1.32,0.0,28.0,22.0
guest,,,,6.14,1.36,22.0,4.15,2.91,20.0,,,,,,0.0,3.83,1.47,0.0,29.0,2037.0
guesthouse,,,,6.09,1.7,23.0,3.0,1.98,22.0,,,,,,0.0,4.53,0.9,0.0,30.0,38.0
guidance,,,,5.95,1.88,20.0,3.06,2.1,18.0,,,,,,0.0,2.46,1.36,0.0,26.0,376.0
guidebook,,,,5.92,1.82,24.0,2.78,1.76,23.0,,,,,,0.0,4.83,0.53,0.0,30.0,35.0
guiding,,,,5.73,1.32,22.0,4.77,2.64,22.0,,,,,,0.0,2.54,1.35,0.0,28.0,106.0
guild,,,,5.43,1.36,21.0,4.6,2.28,20.0,,,,,,0.0,2.96,1.53,0.0,28.0,103.0
guillotine,,,,1.63,0.9,19.0,5.64,2.73,44.0,,,,,,0.0,4.64,0.95,3.0,31.0,42.0
guinea,,,,5.5,1.43,20.0,3.48,2.14,21.0,,,,,,0.0,3.7,1.44,3.0,30.0,227.0
guise,,,,4.25,1.97,20.0,3.86,2.46,22.0,,,,,,0.0,2.52,1.48,1.0,28.0,28.0
guitar,,,,7.1,1.45,21.0,4.4,2.54,20.0,,,,,,0.0,4.9,0.4,0.0,30.0,795.0
guitarist,,,,6.05,1.72,19.0,5.05,2.59,22.0,,,,,,0.0,4.58,0.64,0.0,26.0,36.0
gull,,,,5.67,1.74,21.0,3.8,2.55,20.0,,,,,,0.0,4.08,1.52,4.0,30.0,56.0
gullet,,,,4.35,1.53,20.0,5.25,2.27,20.0,,,,,,,,,,,
gullible,,,,4.16,1.26,19.0,4.06,2.01,17.0,,,,,,0.0,1.78,1.15,0.0,27.0,64.0
gully,,,,5.05,1.61,19.0,3.62,2.31,21.0,,,,,,0.0,4.33,1.14,2.0,29.0,47.0
gulp,,,,4.7,1.95,20.0,3.48,2.2,21.0,,,,,,0.0,4.19,1.27,0.0,27.0,50.0
gum,,,,5.89,1.37,18.0,3.2,2.33,20.0,16.484848484848484,3.0,1.0,4.89,3.714285714,0.0,4.89,0.31,0.0,28.0,683.0
gumbo,,,,6.21,1.75,19.0,4.0,2.43,20.0,,,,,,0.0,4.39,1.2,2.0,25.0,45.0
gummy,,,,5.29,1.71,21.0,4.0,1.95,21.0,,,,,,0.0,3.7,1.39,0.0,30.0,38.0
gumption,,,,5.48,1.91,21.0,4.65,1.79,20.0,,,,,,0.0,1.74,1.05,2.0,25.0,24.0
gun,,,,3.66,2.55,41.0,7.74,1.91,19.0,,,,,,0.0,4.83,0.76,0.0,29.0,10873.0
gunboat,,,,3.58,2.14,19.0,5.86,2.52,21.0,,,,,,0.0,4.36,1.31,1.0,29.0,32.0
gunfight,,,,3.42,2.12,19.0,6.19,2.18,21.0,,,,,,0.0,4.52,0.79,0.0,23.0,58.0
gunfighter,,,,4.33,1.81,18.0,6.1,2.61,20.0,,,,,,0.0,4.34,1.01,0.0,29.0,72.0
gunfire,,,,2.79,2.18,19.0,6.91,2.31,22.0,,,,,,0.0,4.66,0.67,0.0,29.0,266.0
gunk,,,,3.62,2.16,21.0,3.8,2.42,25.0,,,,,,0.0,3.46,1.35,1.0,29.0,24.0
gunman,,,,3.0,2.13,20.0,5.62,2.27,21.0,,,,,,0.0,4.48,1.19,0.0,25.0,106.0
gunner,,,,3.95,2.21,22.0,5.88,2.45,26.0,,,,,,0.0,4.35,1.2,3.0,29.0,120.0
gunnery,,,,3.89,2.35,18.0,4.41,2.84,22.0,,,,,,0.0,3.04,1.55,3.0,27.0,45.0
gunplay,,,,2.95,1.99,20.0,5.38,2.64,21.0,,,,,,0.0,3.39,1.2,1.0,29.0,21.0
gunpoint,,,,2.11,1.66,19.0,6.91,2.22,22.0,,,,,,0.0,3.48,1.06,0.0,29.0,57.0
gunpowder,,,,5.37,2.17,19.0,5.2,2.75,20.0,,,,,,0.0,4.79,0.69,0.0,28.0,85.0
gunshot,,,,2.79,2.06,24.0,5.55,2.86,22.0,,,,,,0.0,4.93,0.27,0.0,27.0,520.0
gunslinger,,,,4.53,2.04,19.0,6.1,2.32,21.0,,,,,,0.0,4.0,1.41,1.0,27.0,21.0
gurney,,,,2.95,1.47,19.0,3.33,2.31,21.0,,,,,,0.0,4.68,0.99,3.0,28.0,127.0
guru,,,,5.76,1.81,21.0,3.76,2.59,25.0,,,,,,0.0,3.6,0.97,0.0,30.0,78.0
gush,,,,5.32,1.73,19.0,5.57,2.23,21.0,,,,,,0.0,3.38,1.47,0.0,26.0,36.0
gusher,,,,4.67,2.37,21.0,4.9,2.51,20.0,,,,,,0.0,3.56,1.34,1.0,28.0,20.0
gust,,,,4.86,1.35,21.0,4.46,1.93,24.0,,,,,,0.0,3.85,1.03,1.0,28.0,24.0
gut,,,,3.9,1.55,20.0,3.67,2.14,18.0,,,,,,0.0,4.15,0.99,0.0,27.0,497.0
gutless,,,,4.05,1.99,21.0,4.65,1.93,20.0,,,,,,0.0,1.75,0.97,0.0,28.0,53.0
gutsy,,,,5.53,1.93,19.0,5.57,2.38,21.0,,,,,,0.0,1.69,0.85,0.0,29.0,34.0
gutter,,,,4.05,1.89,22.0,3.81,2.06,21.0,,,,,,0.0,4.85,0.36,0.0,27.0,267.0
guy,,,,6.55,1.34,22.0,4.71,2.28,21.0,,,,,,0.0,4.68,0.67,0.0,28.0,38893.0
guzzler,,,,4.42,1.57,19.0,5.14,2.31,21.0,,,,,,0.0,3.07,1.21,1.0,29.0,71.0
gym,,,,5.84,2.52,19.0,5.0,3.02,22.0,,,,,,0.0,4.83,0.59,0.0,30.0,927.0
gymnasium,,,,6.2,1.36,20.0,4.1,1.92,20.0,,,,,,0.0,4.81,0.8,0.0,26.0,71.0
gymnast,,,,5.22,1.62,45.0,4.55,2.65,44.0,,,,,,0.0,4.85,0.36,0.0,27.0,30.0
gymnastics,,,,5.45,1.79,22.0,4.57,2.41,23.0,,,,,,0.0,4.04,1.14,0.0,28.0,78.0
gynecologist,,,,3.33,2.27,21.0,4.1,2.73,20.0,,,,,,0.0,4.39,0.96,2.0,30.0,72.0
habit,,,,5.2,1.51,20.0,4.55,1.87,22.0,,,,,,0.0,2.76,1.3,0.0,25.0,738.0
habitat,,,,5.85,1.18,20.0,3.06,1.63,18.0,,,,,,0.0,3.9,1.37,0.0,29.0,114.0
habitual,,,,4.2,1.77,20.0,3.33,2.11,18.0,,,,,,0.0,2.0,1.22,0.0,28.0,26.0
hacienda,,,,5.88,2.07,24.0,3.33,2.31,21.0,,,,,,0.0,4.26,1.23,3.0,30.0,32.0
hack,,,,3.95,1.86,21.0,5.48,1.91,21.0,,,,,,0.0,3.1,1.37,1.0,30.0,436.0
hacker,,,,4.5,2.37,20.0,5.24,2.43,21.0,,,,,,0.0,3.74,1.29,0.0,27.0,108.0
hacksaw,,,,3.86,1.68,21.0,4.55,2.54,22.0,,,,,,0.0,4.96,0.2,1.0,27.0,23.0
hag,,,,2.32,1.34,19.0,4.52,2.09,21.0,,,,,,0.0,3.68,1.14,1.0,26.0,91.0
haggle,,,,4.78,1.78,23.0,3.76,2.34,21.0,,,,,,0.0,2.93,1.38,0.0,27.0,37.0
haiku,,,,5.86,1.77,21.0,3.87,1.94,23.0,,,,,,0.0,3.58,1.45,2.0,28.0,24.0
hail,,,,4.81,2.36,21.0,3.83,2.72,23.0,,,,,,0.0,4.32,1.06,0.0,28.0,613.0
hairball,,,,3.0,1.26,21.0,4.52,2.44,21.0,,,,,,0.0,4.79,0.49,0.0,29.0,30.0
hairbrush,,,,5.95,1.33,22.0,4.26,2.35,19.0,,,,,,0.0,4.75,0.85,0.0,24.0,37.0
haircut,,,,6.38,2.33,21.0,3.57,2.56,21.0,,,,,,0.0,4.77,0.71,0.0,26.0,429.0
hairdo,,,,5.37,1.67,19.0,4.35,2.89,23.0,,,,,,0.0,4.07,1.3,0.0,27.0,66.0
hairdryer,,,,5.52,1.81,21.0,2.61,1.95,23.0,,,,,,0.0,4.97,0.19,0.0,29.0,11.0
hairless,,,,4.45,2.31,20.0,5.2,2.24,20.0,,,,,,0.0,4.52,0.94,0.0,27.0,30.0
hairline,,,,4.37,1.34,19.0,3.0,1.56,20.0,,,,,,0.0,4.46,1.07,0.0,26.0,62.0
hairpin,,,,5.05,1.7,41.0,3.71,2.29,45.0,,,,,,0.0,4.83,0.59,0.0,30.0,18.0
hairspray,,,,5.21,2.18,19.0,2.65,2.13,20.0,,,,,,0.0,4.89,0.42,0.0,27.0,38.0
hairstyle,,,,6.16,1.77,19.0,3.36,1.92,22.0,,,,,,0.0,3.9,1.27,0.0,30.0,35.0
hairy,,,,3.8,1.28,20.0,3.5,2.35,22.0,,,,,,0.0,4.48,0.98,0.0,27.0,322.0
half dollar,,,,6.25,1.86,20.0,4.09,2.14,22.0,,,,,,1.0,4.86,0.44,0.0,29.0,0.0
halfback,,,,5.05,1.78,19.0,3.15,2.43,20.0,,,,,,0.0,4.0,1.22,4.0,28.0,27.0
halftime,,,,5.21,1.08,19.0,3.67,2.35,21.0,,,,,,0.0,2.58,1.45,0.0,26.0,68.0
halibut,,,,5.77,1.8,22.0,3.24,2.26,21.0,,,,,,,,,,,
hall,,,,5.89,1.68,18.0,2.57,1.78,21.0,,,,,,0.0,4.67,0.62,0.0,27.0,2649.0
hallmark,,,,5.68,2.03,19.0,3.0,1.95,20.0,,,,,,0.0,2.89,1.63,2.0,29.0,65.0
hallowed,,,,5.45,1.47,20.0,3.45,2.11,20.0,,,,,,0.0,1.86,1.24,1.0,29.0,117.0
hallucination,,,,3.95,1.57,20.0,5.96,2.6,24.0,,,,,,0.0,2.14,1.11,0.0,28.0,91.0
hallway,,,,4.78,1.35,18.0,2.89,1.94,18.0,,,,,,0.0,4.74,0.45,0.0,27.0,487.0
halo,,,,6.63,2.36,19.0,3.27,2.1,22.0,,,,,,0.0,4.03,1.35,0.0,29.0,82.0
halter,,,,4.33,1.56,21.0,3.26,2.24,23.0,,,,,,0.0,3.5,1.67,1.0,29.0,26.0
ham,,,,4.65,2.35,20.0,4.2,2.65,20.0,,,,,,0.0,4.9,0.41,0.0,29.0,591.0
hamburger,,,,6.93,1.76,42.0,4.2,2.79,41.0,5.923076923076923,7.0,1.0,5.0,1.416666667,0.0,5.0,0.0,0.0,29.0,397.0
hammerhead,,,,4.63,2.19,19.0,4.43,2.48,23.0,,,,,,0.0,4.28,1.19,1.0,30.0,26.0
hammock,,,,6.95,1.93,19.0,2.9,1.95,21.0,,,,,,0.0,4.89,0.58,0.0,27.0,71.0
hamper,,,,5.15,1.09,20.0,3.14,1.81,22.0,,,,,,0.0,4.21,1.23,0.0,28.0,72.0
hand,,,,5.9,1.39,40.0,3.98,2.39,45.0,9.775510204081632,4.0,1.0,4.72,4.9,0.0,4.72,1.03,0.0,29.0,14262.0
handbag,,,,4.68,1.25,19.0,3.94,2.41,18.0,,,,,,0.0,4.93,0.26,0.0,29.0,134.0
handball,,,,5.43,1.86,21.0,3.23,2.2,22.0,,,,,,0.0,4.48,1.01,0.0,27.0,28.0
handbook,,,,5.3,1.55,23.0,3.36,2.01,22.0,,,,,,0.0,4.64,0.87,0.0,28.0,52.0
handcuff,,,,3.35,1.95,20.0,5.0,1.98,22.0,,,,,,0.0,4.79,0.41,0.0,29.0,52.0
handful,,,,5.45,1.47,20.0,3.83,2.01,23.0,,,,,,0.0,3.48,1.37,0.0,27.0,291.0
handgun,,,,4.95,2.16,20.0,6.78,2.13,18.0,,,,,,0.0,5.0,0.0,0.0,25.0,66.0
handheld,,,,6.26,1.18,23.0,3.61,1.83,23.0,,,,,,0.0,3.93,1.33,0.0,27.0,20.0
handicap,,,,2.67,1.14,18.0,3.45,2.22,42.0,,,,,,0.0,3.07,1.39,0.0,29.0,139.0
handicapped,,,,3.04,1.46,23.0,3.95,2.52,22.0,,,,,,0.0,3.66,1.23,0.0,29.0,136.0
handiwork,,,,6.47,1.78,19.0,3.36,2.22,22.0,,,,,,0.0,3.11,1.45,0.0,28.0,38.0
handkerchief,,,,5.79,1.58,19.0,3.05,2.07,19.0,,,,,,0.0,5.0,0.0,0.0,27.0,214.0
handle,,,,5.73,1.24,22.0,3.48,1.94,21.0,,,,,,0.0,4.57,0.92,0.0,28.0,5529.0
handler,,,,4.86,1.53,21.0,3.6,2.48,25.0,,,,,,0.0,3.21,1.26,1.0,30.0,140.0
handmade,,,,7.11,1.85,19.0,3.62,2.2,21.0,,,,,,0.0,4.25,0.97,0.0,28.0,46.0
handout,,,,3.85,1.31,20.0,3.75,2.19,24.0,,,,,,0.0,3.52,1.22,0.0,27.0,43.0
handprint,,,,5.63,1.07,19.0,4.24,2.14,21.0,,,,,,0.0,4.97,0.19,0.0,29.0,32.0
handshake,,,,6.21,1.84,19.0,4.32,2.06,22.0,,,,,,0.0,4.52,0.75,0.0,27.0,155.0
handsome,,,,7.15,1.44,40.0,4.41,2.77,22.0,,,,,,0.0,2.63,1.25,0.0,30.0,1684.0
handwriting,,,,5.76,1.79,21.0,2.65,1.64,23.0,,,,,,0.0,4.59,0.89,0.0,27.0,301.0
handy,,,,6.19,1.57,21.0,3.62,1.43,21.0,,,,,,0.0,1.88,1.03,0.0,26.0,623.0
handyman,,,,6.23,1.72,22.0,4.09,2.33,23.0,,,,,,0.0,4.12,1.24,0.0,26.0,93.0
hangar,,,,5.05,1.0,20.0,3.5,2.33,20.0,,,,,,0.0,4.5,1.14,4.0,30.0,173.0
hanger,,,,4.76,1.58,21.0,2.92,1.93,25.0,,,,,,0.0,4.81,0.48,0.0,27.0,69.0
hangman,,,,3.95,2.15,19.0,5.35,2.92,20.0,,,,,,0.0,4.46,0.88,0.0,28.0,66.0
hangout,,,,6.45,1.84,22.0,4.81,2.48,26.0,,,,,,0.0,3.92,1.06,0.0,26.0,38.0
hangover,,,,2.5,2.01,20.0,6.0,2.62,20.0,,,,,,0.0,3.57,1.43,0.0,28.0,199.0
hankering,,,,5.52,1.97,21.0,4.2,2.42,25.0,,,,,,0.0,2.19,1.18,1.0,28.0,33.0
hanky,,,,5.18,1.87,22.0,3.57,2.13,21.0,,,,,,0.0,4.76,0.83,2.0,27.0,42.0
haphazard,,,,3.28,1.67,43.0,4.67,1.8,21.0,,,,,,0.0,2.48,1.42,1.0,28.0,10.0
hapless,,,,3.63,1.61,19.0,4.1,2.0,21.0,,,,,,0.0,1.74,1.1,4.0,27.0,20.0
happiness,,,,8.48,0.81,21.0,6.5,2.63,20.0,,,,,,0.0,2.6,1.26,0.0,25.0,1249.0
harass,,,,2.95,1.47,21.0,6.1,2.45,20.0,,,,,,0.0,2.67,1.58,0.0,30.0,68.0
harassment,,,,2.45,1.61,20.0,5.15,2.85,20.0,,,,,,0.0,2.58,1.35,0.0,24.0,300.0
harbor,,,,5.86,1.65,21.0,3.14,2.21,22.0,,,,,,0.0,4.57,0.9,0.0,30.0,562.0
hardball,,,,5.1,1.55,20.0,4.81,1.94,21.0,,,,,,0.0,3.08,1.5,2.0,26.0,53.0
hardcore,,,,4.84,2.06,19.0,6.1,2.05,20.0,,,,,,0.0,2.4,1.26,0.0,25.0,156.0
hardened,,,,4.52,1.4,21.0,4.15,2.13,20.0,,,,,,0.0,2.63,1.18,1.0,28.0,58.0
hardheaded,,,,3.58,1.71,19.0,4.38,1.91,21.0,,,,,,0.0,2.37,1.55,1.0,28.0,24.0
hardship,,,,2.8,1.24,20.0,5.1,2.52,39.0,,,,,,0.0,1.79,0.9,0.0,29.0,77.0
hardware,,,,6.11,1.49,18.0,4.41,2.24,22.0,,,,,,0.0,4.62,0.56,0.0,29.0,348.0
hardwood,,,,5.65,1.5,20.0,3.68,2.34,22.0,,,,,,0.0,4.4,1.19,0.0,25.0,33.0
hardworking,,,,6.58,2.09,19.0,3.81,2.71,21.0,,,,,,0.0,2.48,1.19,0.0,27.0,77.0
hare,,,,6.61,1.72,18.0,2.74,2.1,19.0,,,,,,0.0,4.88,0.34,1.0,25.0,195.0
harebrained,,,,4.05,1.85,20.0,4.28,2.16,18.0,,,,,,0.0,1.56,0.82,0.0,25.0,23.0
harem,,,,4.2,2.42,20.0,3.94,2.84,17.0,,,,,,0.0,4.38,1.02,3.0,29.0,45.0
hark,,,,4.65,2.21,20.0,3.1,2.43,20.0,,,,,,0.0,2.38,1.44,4.0,28.0,86.0
harlot,,,,4.58,2.48,19.0,5.6,2.6,20.0,,,,,,0.0,3.63,1.31,3.0,30.0,40.0
harmful,,,,2.29,1.95,21.0,4.89,2.62,19.0,,,,,,0.0,2.19,1.11,0.0,27.0,66.0
harmless,,,,6.59,1.44,22.0,3.5,2.64,18.0,,,,,,0.0,1.9,1.35,0.0,29.0,441.0
harmonica,,,,6.32,2.31,19.0,3.2,2.02,20.0,,,,,,0.0,4.9,0.4,1.0,31.0,89.0
harmonious,,,,7.7,1.22,20.0,4.25,2.92,20.0,,,,,,0.0,2.04,1.16,0.0,27.0,20.0
harness,,,,4.47,1.31,19.0,3.89,1.84,18.0,,,,,,0.0,4.14,1.04,0.0,28.0,133.0
harp,,,,5.4,2.11,20.0,3.26,1.81,23.0,,,,,,0.0,4.85,0.46,0.0,27.0,134.0
harpoon,,,,4.16,1.8,19.0,4.67,2.4,18.0,,,,,,0.0,4.67,0.88,0.0,27.0,44.0
harrowing,,,,4.6,1.6,20.0,3.86,2.87,21.0,,,,,,0.0,2.37,1.24,2.0,29.0,27.0
harsh,,,,3.44,1.42,18.0,5.63,2.29,19.0,,,,,,0.0,2.23,1.18,0.0,26.0,362.0
hash,,,,3.95,1.87,19.0,4.45,2.95,20.0,,,,,,0.0,4.1,1.32,0.0,29.0,180.0
hassle,,,,2.95,1.63,21.0,3.83,2.33,23.0,,,,,,0.0,2.18,1.25,1.0,29.0,133.0
haste,,,,4.12,1.7,24.0,4.58,2.15,24.0,,,,,,0.0,2.29,1.37,0.0,24.0,106.0
hasten,,,,4.9,1.7,21.0,3.86,2.42,22.0,,,,,,0.0,2.22,1.12,1.0,28.0,37.0
hasty,,,,4.25,1.62,20.0,5.35,2.08,23.0,,,,,,0.0,2.7,1.37,0.0,30.0,179.0
hat,,,,5.69,1.35,871.0,2.88,1.84,43.0,12.235294117647058,3.0,1.0,4.88,4.066666667,0.0,4.88,0.6,0.0,25.0,3273.0
hatch,,,,5.26,0.99,19.0,4.9,2.14,21.0,,,,,,0.0,4.46,0.92,0.0,28.0,654.0
hatchet,,,,4.43,1.83,21.0,5.14,2.63,21.0,,,,,,0.0,4.93,0.27,1.0,28.0,100.0
hateful,,,,1.9,0.91,20.0,5.71,2.17,21.0,,,,,,0.0,2.07,1.28,0.0,30.0,102.0
hater,,,,2.33,1.32,21.0,4.14,2.7,22.0,,,,,,0.0,2.21,1.15,0.0,29.0,32.0
haughty,,,,4.16,2.14,19.0,4.36,2.32,22.0,,,,,,0.0,1.67,0.96,0.0,27.0,21.0
haul,,,,4.95,1.5,21.0,3.18,1.97,22.0,,,,,,0.0,3.81,1.36,0.0,27.0,361.0
haunt,,,,4.05,2.44,21.0,4.87,2.8,23.0,,,,,,0.0,2.03,1.27,0.0,30.0,182.0
haven,,,,6.36,1.79,22.0,2.9,1.95,21.0,,,,,,0.0,3.38,1.37,0.0,29.0,18844.0
havoc,,,,3.85,1.98,20.0,5.43,3.03,21.0,,,,,,0.0,2.18,1.09,0.0,28.0,69.0
haw,,,,4.35,1.9,20.0,3.72,2.19,18.0,,,,,,,,,,,
hawk,,,,6.46,1.58,41.0,4.83,2.75,18.0,,,,,,0.0,4.93,0.27,0.0,27.0,650.0
hay,,,,5.41,1.55,39.0,2.43,1.83,21.0,,,,,,0.0,4.87,0.43,0.0,30.0,325.0
hayride,,,,6.67,1.49,21.0,3.81,2.44,21.0,,,,,,0.0,3.93,1.48,0.0,30.0,36.0
haystack,,,,5.86,1.71,21.0,3.58,2.41,19.0,,,,,,0.0,4.87,0.51,0.0,30.0,70.0
haywire,,,,4.55,1.88,20.0,4.29,2.85,21.0,,,,,,0.0,2.5,1.32,1.0,25.0,64.0
hazard,,,,2.9,1.73,21.0,5.77,2.42,26.0,,,,,,0.0,3.67,1.07,0.0,27.0,197.0
hazardous,,,,2.8,1.67,20.0,5.25,2.9,20.0,,,,,,0.0,3.1,1.45,0.0,30.0,94.0
haze,,,,4.83,1.38,18.0,3.91,2.5,23.0,,,,,,0.0,4.04,1.02,1.0,28.0,77.0
hazmat,,,,3.62,1.6,21.0,5.54,2.37,26.0,,,,,,0.0,3.81,1.47,3.0,29.0,41.0
hazy,,,,3.79,1.58,19.0,2.73,2.14,22.0,,,,,,0.0,3.15,1.22,0.0,26.0,41.0
headache,,,,2.22,1.29,41.0,4.27,2.54,45.0,,,,,,0.0,3.9,1.14,0.0,29.0,719.0
headband,,,,5.16,1.5,19.0,3.33,2.0,18.0,,,,,,0.0,5.0,0.0,0.0,29.0,21.0
header,,,,5.33,1.62,21.0,3.33,1.8,21.0,,,,,,0.0,3.93,1.25,0.0,28.0,25.0
headless,,,,2.95,1.54,19.0,5.1,2.79,20.0,,,,,,0.0,4.42,0.95,0.0,26.0,67.0
headlight,,,,5.29,1.15,21.0,4.75,2.51,20.0,,,,,,0.0,4.97,0.19,0.0,29.0,37.0
headline,,,,5.0,1.33,19.0,4.14,2.43,21.0,,,,,,0.0,4.04,1.32,0.0,28.0,132.0
headliner,,,,5.8,2.04,20.0,4.11,2.78,18.0,,,,,,0.0,3.72,1.37,0.0,25.0,22.0
headlock,,,,3.6,1.67,20.0,4.39,2.81,23.0,,,,,,0.0,4.21,1.23,0.0,28.0,20.0
headphones,,,,6.47,1.81,19.0,3.0,2.43,21.0,,,,,,0.0,4.79,0.79,0.0,28.0,80.0
headquarter,,,,5.14,1.35,21.0,3.81,2.12,26.0,,,,,,0.0,3.83,1.17,0.0,29.0,24.0
headquarters,,,,4.95,1.72,21.0,4.04,2.07,25.0,,,,,,0.0,4.14,1.19,0.0,29.0,839.0
headset,,,,5.37,1.38,19.0,4.1,2.2,20.0,,,,,,0.0,4.83,0.54,0.0,29.0,42.0
headstone,,,,2.45,1.23,20.0,4.18,2.51,17.0,,,,,,0.0,4.39,1.17,0.0,28.0,51.0
headstrong,,,,4.84,2.43,19.0,6.0,2.2,22.0,,,,,,0.0,2.14,1.3,0.0,28.0,46.0
headway,,,,5.2,1.32,20.0,3.95,1.94,21.0,,,,,,0.0,2.3,1.32,1.0,28.0,33.0
heady,,,,5.0,1.61,21.0,3.52,2.39,23.0,,,,,,0.0,1.59,1.05,4.0,31.0,20.0
healer,,,,7.38,1.47,21.0,3.95,2.91,19.0,,,,,,0.0,3.52,1.34,0.0,23.0,84.0
healing,,,,7.63,1.54,19.0,3.67,2.61,21.0,,,,,,0.0,2.76,1.41,0.0,29.0,326.0
health,,,,6.85,1.63,40.0,3.48,2.19,23.0,,,,,,0.0,2.28,1.22,0.0,29.0,2054.0
healthcare,,,,4.76,1.79,21.0,4.56,2.42,25.0,,,,,,0.0,3.24,1.3,0.0,25.0,29.0
