Word,Word type,new AoA,Frequency,V.Mean.Sum,V.SD.Sum,V.Rat.Sum,A.Mean.Sum,A.SD.Sum,A.Rat.Sum,rating,phonemes,totalMorphemes,concreteness,babyAVG,Bigram,Conc.M,Conc.SD,Unknown,Total,SUBTLEX
aid,V,412.0,0.9699,6.29,2.05,21.0,4.55,2.35,20.0,,,,,,0.0,3.1,1.47,0.0,29.0,709.0
aim,N,357.0,1.7326,5.95,1.76,22.0,4.0,2.37,21.0,,,,,,0.0,3.27,1.23,0.0,30.0,758.0
aimer,N,562.0,-1.5539,,,,,,,,,,,,,,,,,
air,N,233.0,2.4006,6.71,1.85,21.0,3.25,2.55,20.0,,,,,,0.0,4.11,1.22,0.0,27.0,7090.0
air stewardess,N,513.0,-1.5539,,,,,,,,,,,,,,,,,
airbrush,V,624.0,-1.5539,,,,,,,,,,,,0.0,4.45,0.91,0.0,29.0,9.0
airman,N,437.0,0.1931,,,,,,,,,,,,0.0,4.25,1.08,2.0,30.0,30.0
alarm,N,319.0,1.3361,3.86,1.98,21.0,6.85,2.39,20.0,,,,,,0.0,4.47,0.78,0.0,30.0,1522.0
alarm,V,412.0,1.1959,3.86,1.98,21.0,6.85,2.39,20.0,,,,,,0.0,4.47,0.78,0.0,30.0,1522.0
alaska,N,511.0,-1.5539,,,,,,,,,,,,,,,,,
albania,N,593.0,-0.2518,,,,,,,,,,,,,,,,,
alcoholic,N,583.0,0.8189,2.49,1.54,39.0,5.48,2.69,23.0,,,,,,0.0,3.37,1.5,0.0,30.0,316.0
alert,V,488.0,0.9567,5.38,1.72,40.0,5.14,2.41,43.0,,,,,,0.0,2.59,1.55,0.0,27.0,1051.0
algebra,N,492.0,0.3034,5.4,2.28,20.0,4.6,2.66,20.0,,,,,,0.0,3.14,1.35,0.0,28.0,90.0
algeria,N,559.0,0.837,,,,,,,,,,,,,,,,,
alive,A,277.0,1.8021,6.57,2.33,23.0,5.93,2.88,41.0,,,,,,0.0,3.14,1.58,0.0,28.0,7878.0
all,F,180.0,2.1668,,,,,,,12.666666666666666,2.0,1.0,2.27,2.1875,0.0,2.27,1.6,0.0,30.0,263255.0
alligator,N,332.0,0.1943,4.23,1.88,22.0,5.36,2.3,22.0,6.611111111111111,7.0,1.0,4.96,1.307692308,0.0,4.96,0.19,0.0,28.0,178.0
allot,V,545.0,0.734,,,,,,,,,,,,,,,,,
allow,V,340.0,2.4233,6.39,1.75,18.0,2.95,1.75,21.0,,,,,,0.0,2.41,1.21,0.0,29.0,2263.0
almost,F,296.0,2.6728,,,,,,,,,,,,0.0,1.66,1.11,0.0,29.0,9857.0
along,F,263.0,2.2749,,,,,,,,,,,,0.0,2.14,1.11,1.0,29.0,9330.0
also,F,273.0,2.9645,,,,,,,,,,,,0.0,1.83,1.17,2.0,26.0,10528.0
alter,V,351.0,1.5953,4.57,1.29,21.0,4.17,2.19,23.0,,,,,,0.0,3.07,1.44,0.0,30.0,244.0
although,F,378.0,2.4815,,,,,,,,,,,,0.0,1.07,0.27,0.0,27.0,2143.0
always,F,275.0,2.8209,,,,,,,,,,,,0.0,1.71,0.9,0.0,28.0,33418.0
amaze,V,383.0,1.2243,7.24,2.0,21.0,5.0,2.25,20.0,,,,,,0.0,2.0,1.22,0.0,28.0,82.0
amazement,N,414.0,1.0,7.29,1.9,24.0,6.3,2.51,23.0,,,,,,0.0,1.89,1.01,0.0,27.0,36.0
ambience,N,631.0,0.0492,6.35,1.87,20.0,3.85,2.87,20.0,,,,,,0.0,1.72,1.03,0.0,29.0,37.0
amble,V,507.0,0.3711,,,,,,,,,,,,0.0,3.17,1.31,3.0,27.0,5.0
amend,V,536.0,0.6665,5.85,1.87,20.0,3.06,2.1,18.0,,,,,,0.0,2.32,1.22,0.0,28.0,38.0
america,N,343.0,-1.5539,,,,,,,,,,,,,,,,,
amusement,N,357.0,1.0418,7.0,1.56,19.0,4.82,2.7,22.0,,,,,,0.0,2.07,1.21,0.0,27.0,191.0
an,F,204.0,3.5206,,,,,,,5.166666666666667,2.0,1.0,1.46,2.1,0.0,1.46,0.86,1.0,27.0,95071.0
anarchy,N,596.0,0.616,3.68,2.0,19.0,4.86,2.64,22.0,,,,,,0.0,2.12,1.31,0.0,26.0,103.0
anatomy,N,585.0,0.9201,6.29,1.01,21.0,4.43,2.4,21.0,,,,,,0.0,3.59,1.34,0.0,27.0,163.0
and,F,164.0,4.4589,,,,,,,4.421052631578948,3.0,1.0,1.52,1.666666667,0.0,1.52,1.09,0.0,29.0,682780.0
anger,N,288.0,1.7161,2.5,1.36,20.0,5.93,2.77,43.0,,,,,,0.0,2.41,1.32,0.0,29.0,991.0
anger,V,351.0,0.8839,2.5,1.36,20.0,5.93,2.77,43.0,,,,,,0.0,2.41,1.32,0.0,29.0,991.0
anglican,N,541.0,0.3032,,,,,,,,,,,,,,,,,
anglicism,N,600.0,-1.5539,,,,,,,,,,,,,,,,,
anglo catholic,N,614.0,-1.5539,,,,,,,,,,,,,,,,,
angry,A,263.0,1.8238,2.53,1.74,19.0,6.2,2.57,20.0,,,,,,0.0,2.53,1.63,0.0,30.0,3008.0
announce,V,414.0,1.8723,5.52,1.33,21.0,3.65,2.66,20.0,,,,,,0.0,3.31,1.37,0.0,29.0,498.0
annoy,V,311.0,1.2455,2.49,1.42,41.0,5.04,2.4,23.0,,,,,,0.0,1.93,0.96,0.0,29.0,128.0
annoyance,N,399.0,0.7889,2.95,1.23,20.0,4.1,2.59,20.0,,,,,,0.0,2.14,1.25,0.0,29.0,25.0
another,F,256.0,2.8458,,,,,,,6.186046511627907,5.0,1.0,2.69,2.133333333,0.0,2.69,1.37,1.0,30.0,25970.0
antarctic,N,460.0,0.0492,,,,,,,,,,,,0.0,4.21,1.26,0.0,28.0,31.0
antelope,N,446.0,0.7059,5.68,1.46,22.0,4.46,2.72,26.0,,,,,,0.0,5.0,0.0,0.0,28.0,50.0
anthropology,N,627.0,0.4548,5.3,1.87,20.0,2.91,2.15,23.0,,,,,,0.0,2.41,1.59,0.0,29.0,67.0
anticipate,V,524.0,1.3292,6.0,1.26,20.0,5.7,2.0,20.0,,,,,,0.0,1.54,0.76,0.0,26.0,129.0
anxiety,N,519.0,1.6234,2.38,1.66,21.0,4.78,2.89,23.0,,,,,,0.0,2.21,1.03,0.0,28.0,345.0
anxious,A,475.0,1.614,3.8,1.42,40.0,6.2,2.36,44.0,,,,,,0.0,1.68,0.9,1.0,29.0,719.0
any,F,230.0,3.1025,,,,,,,5.976190476190476,3.0,1.0,1.72,2.5,0.0,1.72,1.13,0.0,29.0,56068.0
anyhow,F,332.0,1.2006,,,,,,,,,,,,0.0,1.48,1.16,0.0,25.0,773.0
anyone,F,265.0,2.268,,,,,,,,,,,,0.0,2.7,1.42,0.0,30.0,13018.0
anything,F,256.0,2.5883,,,,,,,,,,,,0.0,1.38,0.94,0.0,29.0,46270.0
anyway,F,298.0,2.1393,,,,,,,,,,,,0.0,1.68,1.02,0.0,28.0,12164.0
apart,F,340.0,0.3492,,,,,,,,,,,,0.0,3.15,1.32,0.0,26.0,2398.0
ape,N,324.0,1.0394,5.21,1.72,19.0,4.25,2.73,20.0,,,,,,0.0,4.79,0.79,0.0,28.0,493.0
appear,V,359.0,2.4653,5.25,0.64,20.0,3.24,2.21,21.0,,,,,,0.0,3.13,1.41,0.0,30.0,1192.0
appearance,N,397.0,1.7917,6.14,1.9,21.0,4.57,2.45,23.0,,,,,,0.0,2.57,1.62,0.0,28.0,591.0
appliance,N,509.0,0.7964,5.15,1.29,40.0,2.84,1.88,45.0,,,,,,0.0,4.57,0.94,0.0,30.0,41.0
appreciate,V,473.0,1.5423,7.33,1.53,18.0,3.1,2.25,20.0,,,,,,0.0,2.23,1.17,0.0,30.0,4373.0
appreciation,N,494.0,1.0835,7.3,1.45,20.0,4.68,2.44,22.0,,,,,,0.0,1.63,1.0,0.0,30.0,261.0
aquamarine,N,576.0,-0.1079,6.4,1.9,20.0,3.9,2.85,20.0,,,,,,0.0,4.43,0.92,0.0,28.0,23.0
arabic,N,583.0,0.6964,,,,,,,,,,,,0.0,3.43,1.52,0.0,30.0,174.0
arcade,N,463.0,0.6042,6.45,1.96,20.0,6.1,2.47,20.0,,,,,,0.0,4.74,0.53,0.0,27.0,111.0
arch,N,353.0,1.2357,5.8,1.77,20.0,3.15,1.93,20.0,,,,,,0.0,4.59,0.91,0.0,29.0,188.0
arch,V,471.0,0.9232,5.8,1.77,20.0,3.15,1.93,20.0,,,,,,0.0,4.59,0.91,0.0,29.0,188.0
archaeologist,N,562.0,0.5988,5.42,1.57,19.0,4.14,2.22,21.0,,,,,,0.0,4.45,0.78,0.0,29.0,57.0
archaeology,N,568.0,0.9619,6.1,1.62,20.0,3.86,2.56,21.0,,,,,,0.0,3.08,1.61,0.0,25.0,39.0
architect,N,524.0,1.2669,6.21,1.84,19.0,3.25,2.12,20.0,,,,,,0.0,3.74,1.1,0.0,27.0,334.0
arctic,N,452.0,0.2095,4.45,2.01,20.0,3.88,2.64,25.0,,,,,,0.0,3.0,1.39,1.0,27.0,100.0
argentina,N,517.0,0.8156,,,,,,,,,,,,,,,,,
argue,V,319.0,2.0755,3.15,1.53,20.0,6.67,2.61,18.0,,,,,,0.0,2.75,1.27,0.0,28.0,1007.0
around,F,277.0,2.48,,,,,,,15.833333333333334,5.0,1.0,1.96,2.909090909,0.0,1.96,1.17,0.0,28.0,37573.0
arrange,V,359.0,1.9477,5.15,0.93,20.0,3.57,2.11,21.0,,,,,,0.0,2.79,1.35,0.0,29.0,791.0
art,N,330.0,2.2251,6.85,1.89,39.0,4.48,2.48,23.0,,,,,,0.0,4.17,1.17,0.0,29.0,3611.0
article,N,404.0,1.7925,5.68,1.42,19.0,3.5,1.71,22.0,,,,,,0.0,4.33,1.12,0.0,30.0,998.0
artist,N,345.0,1.8713,6.76,2.47,21.0,4.1,2.65,20.0,,,,,,0.0,4.24,1.06,0.0,29.0,1460.0
artistic,A,427.0,1.2005,7.0,1.17,20.0,5.0,2.74,18.0,,,,,,0.0,2.14,1.16,0.0,29.0,251.0
artwork,N,456.0,-1.5539,6.76,1.55,21.0,4.18,2.91,22.0,,,,,,0.0,4.42,0.9,0.0,26.0,78.0
as,F,225.0,3.0451,,,,,,,,,,,,0.0,1.33,0.78,0.0,27.0,113068.0
ascend,V,448.0,0.8299,6.19,1.5,21.0,4.13,2.53,23.0,,,,,,0.0,2.66,1.4,0.0,29.0,47.0
ask,V,195.0,2.913,5.95,1.4,22.0,3.48,2.16,21.0,,,,,,0.0,2.52,1.58,0.0,27.0,24640.0
ass,N,305.0,1.0306,5.45,2.26,22.0,5.43,2.29,21.0,,,,,,0.0,4.67,0.88,0.0,30.0,11545.0
assault,V,493.0,0.943,2.05,1.45,39.0,6.8,2.11,916.0,,,,,,0.0,3.41,1.32,0.0,29.0,896.0
assert,V,551.0,1.3568,5.68,1.49,19.0,4.64,2.13,22.0,,,,,,0.0,2.03,1.12,0.0,32.0,43.0
assess,V,551.0,1.3674,5.84,1.86,19.0,3.45,2.2,22.0,,,,,,0.0,2.26,1.48,1.0,28.0,83.0
assimilate,V,631.0,0.8,4.63,1.86,19.0,4.15,1.95,20.0,,,,,,0.0,2.17,1.27,1.0,25.0,26.0
assist,V,441.0,1.3059,5.95,1.53,22.0,3.76,2.26,21.0,,,,,,0.0,2.52,1.34,0.0,27.0,400.0
assistant,N,402.0,1.5317,5.91,1.44,22.0,4.8,2.67,20.0,,,,,,0.0,4.07,1.36,0.0,27.0,1643.0
assume,V,492.0,2.0412,4.41,1.84,22.0,4.2,2.4,20.0,,,,,,0.0,1.75,1.04,1.0,29.0,1707.0
astrology,N,562.0,0.316,4.79,2.68,19.0,4.18,2.48,22.0,,,,,,0.0,2.48,1.58,0.0,27.0,47.0
at,F,185.0,3.7479,,,,,,,10.27659574468085,,1.0,2.07,2.0,0.0,2.07,1.31,0.0,29.0,164072.0
ate,V,189.0,2.4617,,,,,,,,,,,,0.0,3.74,1.51,0.0,27.0,1722.0
atheism,N,602.0,-0.2518,,,,,,,,,,,,0.0,2.23,1.36,0.0,30.0,5.0
attack,N,385.0,2.0462,2.0,0.97,18.0,7.05,2.11,21.0,,,,,,0.0,3.71,1.18,0.0,28.0,3853.0
attack,V,387.0,1.8458,2.0,0.97,18.0,7.05,2.11,21.0,,,,,,0.0,3.71,1.18,0.0,28.0,3853.0
attempt,N,380.0,2.0416,6.0,1.55,21.0,4.94,2.29,18.0,,,,,,0.0,2.22,1.09,0.0,27.0,975.0
attempt,V,385.0,1.8945,6.0,1.55,21.0,4.94,2.29,18.0,,,,,,0.0,2.22,1.09,0.0,27.0,975.0
